year,r_hh_w_wealth_nohouse,r_cl_w_wealth_nohouse,r_hh_w_wealth_withhome,r_cl_w_wealth_withhome,diff_nohouse,diff_withhome,diff_home_equity_effect
1984,0.837,0.731,NA,NA,0.10599999999999998,NA,NA
1989,0.836,0.721,NA,NA,0.11499999999999999,NA,NA
1994,0.823,0.692,NA,NA,0.131,NA,NA
1999,0.839,0.728,NA,NA,0.11099999999999999,NA,NA
2001,0.827,0.702,NA,NA,0.125,NA,NA
2003,0.84,0.713,NA,NA,0.127,NA,NA
2005,0.84,0.709,NA,NA,0.131,NA,NA
2007,0.854,0.722,NA,NA,0.132,NA,NA
2009,0.882,0.771,0.85,0.717,0.11099999999999999,0.133,0.02200000000000002
2011,0.852,0.729,0.835,0.689,0.123,0.14600000000000002,0.02300000000000002
2013,0.854,0.732,0.836,0.691,0.122,0.14500000000000002,0.02300000000000002
2015,0.862,0.747,0.838,0.702,0.11499999999999999,0.136,0.02100000000000002
2017,0.859,0.732,0.831,0.68,0.127,0.1509999999999999,0.02399999999999991
2019,0.858,0.743,0.821,0.688,0.11499999999999999,0.133,0.018000000000000016
2021,0.856,0.745,0.805,0.68,0.11099999999999999,0.125,0.014000000000000012
