year,hh_w_inc,r_hh_w_inc,cl_w_inc,r_cl_w_inc,hh_change,cl_change,diff_change
1969,0.376,0.388,0.38,0.297,0.01200000000000001,-0.08300000000000002,0.09500000000000003
1970,0.379,0.372,0.384,0.289,-0.007000000000000006,-0.09500000000000003,0.08800000000000002
1971,0.384,0.375,0.391,0.276,-0.009000000000000008,-0.11499999999999999,0.10599999999999998
1972,0.384,0.371,0.399,0.281,-0.013000000000000012,-0.118,0.10499999999999998
1973,0.385,0.368,0.406,0.28,-0.017000000000000015,-0.126,0.10899999999999999
1974,0.389,0.375,0.417,0.289,-0.014000000000000012,-0.128,0.11399999999999999
1975,0.392,0.375,0.43,0.301,-0.017000000000000015,-0.129,0.11199999999999999
1976,0.394,0.375,0.434,0.305,-0.019000000000000017,-0.129,0.10999999999999999
1977,0.399,0.381,0.446,0.313,-0.018000000000000016,-0.133,0.11499999999999999
1978,0.397,0.375,0.447,0.31,-0.02200000000000002,-0.137,0.11499999999999999
1979,0.402,0.378,0.462,0.316,-0.02400000000000002,-0.14600000000000002,0.122
1980,0.405,0.386,0.467,0.32,-0.019000000000000017,-0.14700000000000002,0.128
1981,0.426,0.41,0.481,0.333,-0.016000000000000014,-0.14799999999999996,0.13199999999999995
1982,0.415,0.399,0.474,0.332,-0.01599999999999996,-0.14199999999999996,0.126
1983,0.421,0.399,0.478,0.338,-0.021999999999999964,-0.13999999999999996,0.118
1984,0.42,0.406,0.48,0.35,-0.013999999999999957,-0.13,0.11600000000000005
1985,0.43,0.408,0.485,0.354,-0.02200000000000002,-0.131,0.10899999999999999
1986,0.434,0.417,0.487,0.359,-0.017000000000000015,-0.128,0.11099999999999999
1987,0.433,0.422,0.49,0.364,-0.01100000000000001,-0.126,0.11499999999999999
1988,0.443,0.433,0.498,0.373,-0.010000000000000009,-0.125,0.11499999999999999
1989,0.449,0.437,0.508,0.381,-0.01200000000000001,-0.127,0.11499999999999999
1990,0.449,0.439,0.507,0.383,-0.010000000000000009,-0.124,0.11399999999999999
1991,0.444,0.433,0.503,0.379,-0.01100000000000001,-0.124,0.11299999999999999
1992,0.45,0.441,0.505,0.385,-0.009000000000000008,-0.12,0.11099999999999999
1993,0.458,0.448,0.512,0.387,-0.010000000000000009,-0.125,0.11499999999999999
1994,0.483,0.473,0.528,0.409,-0.010000000000000009,-0.11900000000000005,0.10900000000000004
1995,0.477,0.469,0.521,0.405,-0.008000000000000007,-0.11599999999999999,0.10799999999999998
1996,0.465,0.457,0.517,0.399,-0.008000000000000007,-0.118,0.10999999999999999
1997,0.457,0.449,0.545,0.392,-0.008000000000000007,-0.15300000000000002,0.14500000000000002
1999,0.466,0.461,0.543,0.405,-0.0050000000000000044,-0.138,0.133
2001,0.482,0.476,0.546,0.42,-0.006000000000000005,-0.12600000000000006,0.12000000000000005
2003,0.471,0.461,0.534,0.403,-0.009999999999999953,-0.131,0.12100000000000005
2005,0.493,0.49,0.533,0.419,-0.0030000000000000027,-0.11400000000000005,0.11100000000000004
2007,0.484,0.483,0.524,0.417,-0.0010000000000000009,-0.10700000000000004,0.10600000000000004
2009,0.482,0.48,0.524,0.433,-0.0020000000000000018,-0.09100000000000003,0.08900000000000002
2011,0.479,0.476,0.523,0.439,-0.0030000000000000027,-0.08400000000000002,0.08100000000000002
2013,0.489,0.485,0.532,0.443,-0.0040000000000000036,-0.08900000000000002,0.08500000000000002
2015,0.484,0.479,0.52,0.436,-0.0050000000000000044,-0.08400000000000002,0.07900000000000001
2017,0.484,0.482,0.526,0.44,-0.0020000000000000018,-0.08600000000000002,0.08400000000000002
2019,0.486,0.489,0.568,0.45,0.0030000000000000027,-0.11799999999999994,0.12099999999999994
2021,0.503,0.505,0.573,0.46,0.0020000000000000018,-0.11299999999999993,0.11499999999999994
2023,0.518,0.516,0.575,0.465,-0.0020000000000000018,-0.10999999999999993,0.10799999999999993
