year,hh_w_wealth,r_hh_w_wealth,cl_w_wealth,r_cl_w_wealth,hh_change,cl_change,diff_change
1984,0.839,0.837,0.784,0.731,-0.0020000000000000018,-0.05300000000000005,0.051000000000000045
1989,0.824,0.836,0.753,0.721,0.01200000000000001,-0.03200000000000003,0.04400000000000004
1994,0.813,0.823,0.727,0.692,0.010000000000000009,-0.03500000000000003,0.04500000000000004
1999,0.842,0.839,0.79,0.728,-0.0030000000000000027,-0.062000000000000055,0.05900000000000005
2001,0.83,0.827,0.766,0.702,-0.0030000000000000027,-0.06400000000000006,0.061000000000000054
2003,0.84,0.84,0.77,0.713,0,-0.05700000000000005,0.05700000000000005
2005,0.842,0.84,0.766,0.709,-0.0020000000000000018,-0.05700000000000005,0.05500000000000005
2007,0.853,0.854,0.771,0.722,0.0010000000000000009,-0.049000000000000044,0.050000000000000044
2009,0.881,0.882,0.803,0.771,0.0010000000000000009,-0.03200000000000003,0.03300000000000003
2011,0.852,0.852,0.765,0.729,0,-0.03600000000000003,0.03600000000000003
2013,0.853,0.854,0.766,0.732,0.0010000000000000009,-0.03400000000000003,0.03500000000000003
2015,0.863,0.862,0.778,0.747,-0.0010000000000000009,-0.031000000000000028,0.030000000000000027
2017,0.859,0.859,0.766,0.732,0,-0.03400000000000003,0.03400000000000003
2019,0.86,0.858,0.805,0.743,-0.0020000000000000018,-0.062000000000000055,0.06000000000000005
2021,0.855,0.856,0.798,0.745,0.0010000000000000009,-0.05300000000000005,0.05400000000000005
