year,r_hh_unw_inc,r_hh_w_inc,r_cl_unw_inc,r_cl_w_inc,hh_weight_effect,cl_weight_effect
1969,0.404,0.388,0.318,0.297,-0.016000000000000014,-0.02100000000000002
1970,0.38,0.372,0.306,0.289,-0.008000000000000007,-0.017000000000000015
1971,0.386,0.375,0.308,0.276,-0.01100000000000001,-0.03199999999999997
1972,0.383,0.371,0.311,0.281,-0.01200000000000001,-0.02999999999999997
1973,0.377,0.368,0.304,0.28,-0.009000000000000008,-0.023999999999999966
1974,0.38,0.375,0.31,0.289,-0.0050000000000000044,-0.02100000000000002
1975,0.379,0.375,0.317,0.301,-0.0040000000000000036,-0.016000000000000014
1976,0.38,0.375,0.323,0.305,-0.0050000000000000044,-0.018000000000000016
1977,0.393,0.381,0.336,0.313,-0.01200000000000001,-0.02300000000000002
1978,0.386,0.375,0.329,0.31,-0.01100000000000001,-0.019000000000000017
1979,0.386,0.378,0.33,0.316,-0.008000000000000007,-0.014000000000000012
1980,0.389,0.386,0.333,0.32,-0.0030000000000000027,-0.013000000000000012
1981,0.406,0.41,0.345,0.333,0.003999999999999948,-0.011999999999999955
1982,0.407,0.399,0.347,0.332,-0.007999999999999952,-0.014999999999999958
1983,0.413,0.399,0.352,0.338,-0.013999999999999957,-0.013999999999999957
1984,0.42,0.406,0.363,0.35,-0.013999999999999957,-0.013000000000000012
1985,0.422,0.408,0.366,0.354,-0.014000000000000012,-0.01200000000000001
1986,0.424,0.417,0.368,0.359,-0.007000000000000006,-0.009000000000000008
1987,0.427,0.422,0.369,0.364,-0.0050000000000000044,-0.0050000000000000044
1988,0.435,0.433,0.376,0.373,-0.0020000000000000018,-0.0030000000000000027
1989,0.435,0.437,0.38,0.381,0.0020000000000000018,0.0010000000000000009
1990,0.441,0.439,0.384,0.383,-0.0020000000000000018,-0.0010000000000000009
1991,0.439,0.433,0.382,0.379,-0.006000000000000005,-0.0030000000000000027
1992,0.447,0.441,0.386,0.385,-0.006000000000000005,-0.0010000000000000009
1993,0.458,0.448,0.389,0.387,-0.010000000000000009,-0.0020000000000000018
1994,0.477,0.473,0.403,0.409,-0.0040000000000000036,0.00599999999999995
1995,0.47,0.469,0.401,0.405,-0.0010000000000000009,0.0040000000000000036
1996,0.462,0.457,0.398,0.399,-0.0050000000000000044,0.0010000000000000009
1997,0.449,0.449,0.398,0.392,0,-0.006000000000000005
1999,0.453,0.461,0.409,0.405,0.008000000000000007,-0.003999999999999948
2001,0.468,0.476,0.423,0.42,0.007999999999999952,-0.0030000000000000027
2003,0.456,0.461,0.408,0.403,0.0050000000000000044,-0.004999999999999949
2005,0.472,0.49,0.418,0.419,0.018000000000000016,0.0010000000000000009
2007,0.473,0.483,0.416,0.417,0.010000000000000009,0.0010000000000000009
2009,0.473,0.48,0.429,0.433,0.007000000000000006,0.0040000000000000036
2011,0.478,0.476,0.433,0.439,-0.0020000000000000018,0.006000000000000005
2013,0.485,0.485,0.432,0.443,0,0.01100000000000001
2015,0.476,0.479,0.427,0.436,0.0030000000000000027,0.009000000000000008
2017,0.471,0.482,0.43,0.44,0.01100000000000001,0.010000000000000009
2019,0.477,0.489,0.435,0.45,0.01200000000000001,0.015000000000000013
2021,0.496,0.505,0.45,0.46,0.009000000000000008,0.010000000000000009
2023,0.504,0.516,0.453,0.465,0.01200000000000001,0.01200000000000001
