year,r_hh_unw_wealth,r_hh_w_wealth,r_cl_unw_wealth,r_cl_w_wealth,hh_weight_effect,cl_weight_effect
1984,0.867,0.837,0.776,0.731,-0.030000000000000027,-0.04500000000000004
1989,0.851,0.836,0.749,0.721,-0.015000000000000013,-0.028000000000000025
1994,0.845,0.823,0.716,0.692,-0.02200000000000002,-0.02400000000000002
1999,0.858,0.839,0.753,0.728,-0.019000000000000017,-0.025000000000000022
2001,0.854,0.827,0.735,0.702,-0.027000000000000024,-0.03300000000000003
2003,0.86,0.84,0.738,0.713,-0.020000000000000018,-0.025000000000000022
2005,0.864,0.84,0.732,0.709,-0.02400000000000002,-0.02300000000000002
2007,0.876,0.854,0.747,0.722,-0.02200000000000002,-0.025000000000000022
2009,0.899,0.882,0.795,0.771,-0.017000000000000015,-0.02400000000000002
2011,0.882,0.852,0.756,0.729,-0.030000000000000027,-0.027000000000000024
2013,0.882,0.854,0.757,0.732,-0.028000000000000025,-0.025000000000000022
2015,0.891,0.862,0.77,0.747,-0.029000000000000026,-0.02300000000000002
2017,0.886,0.859,0.754,0.732,-0.027000000000000024,-0.02200000000000002
2019,0.886,0.858,0.766,0.743,-0.028000000000000025,-0.02300000000000002
2021,0.879,0.856,0.759,0.745,-0.02300000000000002,-0.014000000000000012
