year,mean_weight,median_weight,sd_weight,n
1969,17.761562640323262,23.999999999999996,11.697078427057098,4454
1970,17.347516198704156,22,11.63077693993224,4630
1971,16.80501970545523,18.999999999999996,11.559773563475284,4821
1972,16.296722939424097,17.999999999999996,11.501279885321331,5035
1973,15.835043709616208,14.999999999999998,11.388950599983222,5262
1974,17.470716624227027,16.999999999999996,12.734279227765496,5498
1975,17.09600560616682,16.999999999999996,12.637395513443911,5708
1976,16.741874786178684,15.999999999999998,12.541759085831611,5846
1977,16.518679119413036,14.999999999999998,12.461871175072494,5996
1978,16.17743773400621,14.999999999999998,12.38254220638821,6143
1979,17.448389630793418,15.999999999999998,13.514886314897527,6365
1980,17.166564511186024,15.999999999999998,13.333034159726004,6526
1981,16.978076806773537,15.999999999999998,13.285656474089839,6614
1982,16.85794864182884,15.999999999999998,13.266818399111893,6737
1983,16.573389805754417,14.999999999999998,13.126894068486964,6847
1984,17.777906304222377,15.999999999999998,14.016852082810447,6916
1985,17.51607396870561,15.999999999999998,13.902418308807038,7030
1986,17.407782212086342,15.999999999999998,13.816299809514948,7016
1987,17.21031746031764,15.999999999999998,13.711484366319928,7056
1988,17.13066104078752,15.999999999999998,13.673830527131884,7110
1989,19.42001406469761,17.799999999999997,15.542452321508023,7110
1990,19.18125184375854,17.818999999999996,15.553876467954437,7322
1991,19.031554967426707,17.701999999999998,15.489206576384667,7368
1992,18.923430481991545,17.612999999999996,15.520239254901952,7552
1993,18.329250286880015,17.209999999999997,15.584089399605807,7843
1994,17.61512700255398,16,15.278166568057278,8614
1995,17.41699636789686,15.5,15.140440530792848,8535
1996,17.318112933679483,15.3245,14.981977052735752,8474
1997,23.78311441749739,22.653,17.524501949146096,6721
1999,22.610366489895362,21.924,17.106389100723423,6977
2001,22.10700041876047,21.2005,16.73959448799894,7164
2003,22.15556639638442,21.276,17.053395852062852,7523
2005,21.158614463903245,19.300999999999995,16.822564170270972,7937
2007,21.469928135675936,18.881499999999996,17.41519754398769,8196
2009,20.874877072145683,17.482999999999997,17.296992276583143,8566
2011,22.017069237811857,17.796999999999997,18.778277019135288,8738
2013,21.205177579589066,16.97,18.478093086236147,8858
2015,23.264618171493463,17.808999999999997,21.125925146436938,8805
2017,21.512575712143924,16.2455,20.8018407396602,9338
2019,25.32286409233092,18.970999999999997,24.175483354261257,9271
2021,24.782944755714926,18.6725,23.683559791978766,8924
