year,epsilon,Households,Clans
1969,0.3,NA,0.0486
1969,0.5,0.1324,0.0808
1969,1,0.2589,0.1608
1969,2,0.4852,0.3193
1970,0.3,NA,0.0456
1970,0.5,0.1188,0.076
1970,1,0.2402,0.1527
1970,2,0.5148,0.3143
1971,0.3,NA,0.0471
1971,0.5,0.1257,0.0783
1971,1,0.2572,0.1558
1971,2,0.8698,0.3098
1972,0.3,NA,0.0473
1972,0.5,0.1217,0.0782
1972,1,0.2438,0.1535
1972,2,0.8449,0.2965
1973,0.3,NA,0.0452
1973,0.5,0.1195,0.0749
1973,1,0.2437,0.1479
1973,2,0.901,0.2899
1974,0.3,NA,0.0467
1974,0.5,0.1206,0.0776
1974,1,0.2463,0.1542
1974,2,0.9248,0.3155
1975,0.3,NA,0.0489
1975,0.5,0.1218,0.081
1975,1,0.2541,0.1597
1975,2,0.9673,0.3119
1976,0.3,NA,0.0507
1976,0.5,0.1211,0.084
1976,1,0.2481,0.1653
1976,2,0.9366,0.3219
1977,0.3,NA,0.0553
1977,0.5,0.1302,0.0919
1977,1,0.2688,0.1827
1977,2,0.9669,0.3599
1978,0.3,NA,0.0527
1978,0.5,0.1266,0.0877
1978,1,0.269,0.1749
1978,2,0.9738,0.3479
1979,0.3,NA,0.0528
1979,0.5,0.1256,0.088
1979,1,0.2652,0.1762
1979,2,0.9686,0.3543
1980,0.3,NA,0.0541
1980,0.5,0.1282,0.0898
1980,1,0.267,0.178
1980,2,0.973,0.3495
1981,0.3,NA,0.0614
1981,0.5,0.1433,0.1
1981,1,0.2916,0.1923
1981,2,0.982,0.3703
1982,0.3,NA,0.0591
1982,0.5,0.142,0.0977
1982,1,0.3012,0.192
1982,2,0.9872,0.373
1983,0.3,NA,0.0609
1983,0.5,0.1463,0.1008
1983,1,0.3165,0.2015
1983,2,0.9903,0.9545
1984,0.3,NA,0.0646
1984,0.5,0.1525,0.1069
1984,1,0.3295,0.2104
1984,2,0.9903,0.4033
1985,0.3,NA,0.0665
1985,0.5,0.1556,0.1099
1985,1,0.3404,0.216
1985,2,0.9936,0.4184
1986,0.3,NA,0.0671
1986,0.5,0.1569,0.1109
1986,1,0.3416,0.2179
1986,2,0.9936,0.4215
1987,0.3,NA,0.0675
1987,0.5,0.1586,0.1115
1987,1,0.3406,0.2186
1987,2,0.9931,0.4227
1988,0.3,NA,0.0714
1988,0.5,0.1664,0.117
1988,1,0.3603,0.2258
1988,2,0.9956,0.4294
1989,0.3,NA,0.073
1989,0.5,0.1652,0.1194
1989,1,0.3435,0.2297
1989,2,0.9926,0.4341
1990,0.3,NA,0.0735
1990,0.5,0.1702,0.1205
1990,1,0.3618,0.2331
1990,2,0.9949,0.4419
1991,0.3,NA,0.0725
1991,0.5,0.168,0.1194
1991,1,0.3632,0.2329
1991,2,0.9958,0.4493
1992,0.3,NA,0.0749
1992,0.5,0.1763,0.1228
1992,1,0.381,0.2379
1992,2,0.9962,0.4656
1993,0.3,NA,0.075
1993,0.5,0.1858,0.1237
1993,1,0.4206,0.2428
1993,2,0.9977,0.5121
1994,0.3,NA,0.0823
1994,0.5,0.2029,0.1348
1994,1,0.3827,0.2622
1994,2,1,0.56
1995,0.3,NA,0.0812
1995,0.5,0.1955,0.1331
1995,1,0.369,0.2577
1995,2,1,0.5266
1996,0.3,NA,0.0795
1996,0.5,0.1868,0.1305
1996,1,0.3566,0.2558
1996,2,1,0.8292
1997,0.3,NA,0.0788
1997,0.5,0.1751,0.1292
1997,1,0.3368,0.2505
1997,2,1,0.5376
1999,0.3,NA,0.0837
1999,0.5,0.1794,0.1369
1999,1,0.3376,0.2635
1999,2,1,0.6066
2001,0.3,NA,0.0899
2001,0.5,0.1888,0.1461
2001,1,0.3464,0.2762
2001,2,1,0.5228
2003,0.3,NA,0.0829
2003,0.5,0.1792,0.1353
2003,1,0.3333,0.2579
2003,2,1,0.4948
2005,0.3,NA,0.0899
2005,0.5,0.1952,0.1449
2005,1,0.3567,0.2706
2005,2,1,0.5036
2007,0.3,NA,0.0865
2007,0.5,0.1936,0.141
2007,1,0.3601,0.268
2007,2,1,0.4869
2009,0.3,NA,0.093
2009,0.5,0.1959,0.1506
2009,1,0.3595,0.2823
2009,2,1,0.5071
2011,0.3,NA,0.0941
2011,0.5,0.2007,0.1536
2011,1,0.3729,0.2931
2011,2,1,0.5451
2013,0.3,NA,0.0942
2013,0.5,0.2062,0.1533
2013,1,0.3785,0.2899
2013,2,1,0.5215
2015,0.3,NA,0.0904
2015,0.5,0.1972,0.1486
2015,1,0.3648,0.286
2015,2,1,1
2017,0.3,NA,0.0921
2017,0.5,0.1923,0.1505
2017,1,0.3519,0.2865
2017,2,1,0.5241
2019,0.3,NA,0.0942
2019,0.5,0.1988,0.1541
2019,1,0.3605,0.2948
2019,2,1,0.5455
2021,0.3,NA,0.1018
2021,0.5,0.2184,0.1652
2021,1,0.3815,0.3112
2021,2,1,0.5603
