year,r_hh_w_inc_gini_total,r_hh_w_inc_gini_within,r_hh_w_inc_gini_between,r_hh_w_inc_gini_overlap
1969,0.3828,0.0014,0.2963,0.0851
1970,0.3694,6e-4,0.2819,0.0869
1971,0.374,5e-4,0.2754,0.0981
1972,0.3704,4e-4,0.2765,0.0935
1973,0.3668,3e-4,0.2643,0.1022
1974,0.3741,3e-4,0.2636,0.1102
1975,0.3743,3e-4,0.2729,0.1011
1976,0.3749,3e-4,0.2735,0.1011
1977,0.3803,3e-4,0.2813,0.0988
1978,0.3743,3e-4,0.272,0.102
1979,0.3777,2e-4,0.273,0.1045
1980,0.3855,2e-4,0.2727,0.1126
1981,0.4096,3e-4,0.2987,0.1106
1982,0.3985,2e-4,0.2864,0.1118
1983,0.3986,2e-4,0.2914,0.107
1984,0.4053,2e-4,0.2969,0.1082
1985,0.4077,2e-4,0.298,0.1095
1986,0.4171,2e-4,0.3056,0.1112
1987,0.4213,2e-4,0.3132,0.1079
1988,0.4325,2e-4,0.3243,0.108
1989,0.437,2e-4,0.3288,0.108
1990,0.4385,2e-4,0.3298,0.1085
1991,0.4324,2e-4,0.3167,0.1154
1992,0.441,2e-4,0.3245,0.1162
1993,0.4476,2e-4,0.3234,0.1239
1994,0.4745,3e-4,0.348,0.1262
1995,0.4693,2e-4,0.3508,0.1183
1996,0.4569,3e-4,0.3324,0.1242
1997,0.4484,3e-4,0.3248,0.1233
1999,0.4618,3e-4,0.3321,0.1294
2001,0.4772,3e-4,0.3458,0.1312
2003,0.4617,3e-4,0.3219,0.1395
2005,0.4895,3e-4,0.3485,0.1407
2007,0.4828,3e-4,0.3356,0.1468
2009,0.4798,3e-4,0.3345,0.1449
2011,0.476,4e-4,0.3305,0.1451
2013,0.485,4e-4,0.3434,0.1412
2015,0.4785,NA,0.3314,NA
2017,0.4818,4e-4,0.3333,0.1481
2019,0.4895,4e-4,0.3367,0.1524
2021,0.5075,5e-4,0.3454,0.1617
