year,gini_households_inc,top10_share_households_inc,top10_share_clans_inc,bottom10_share_households_inc,bottom10_share_clans_inc,gini_households_wealth,top10_share_households_wealth,top10_share_clans_wealth,bottom10_share_households_wealth,bottom10_share_clans_wealth
1969,0.39,0.26,0.21,0.02,0.03,NA,NA,NA,NA,NA
1970,0.37,0.25,0.22,0.02,0.03,NA,NA,NA,NA,NA
1971,0.38,0.25,0.21,0.02,0.03,NA,NA,NA,NA,NA
1972,0.37,0.25,0.22,0.02,0.03,NA,NA,NA,NA,NA
1973,0.37,0.25,0.22,0.02,0.03,NA,NA,NA,NA,NA
1974,0.37,0.26,0.22,0.02,0.03,NA,NA,NA,NA,NA
1975,0.37,0.27,0.22,0.02,0.03,NA,NA,NA,NA,NA
1976,0.38,0.26,0.23,0.02,0.03,NA,NA,NA,NA,NA
1977,0.38,0.27,0.23,0.02,0.03,NA,NA,NA,NA,NA
1978,0.37,0.26,0.23,0.02,0.03,NA,NA,NA,NA,NA
1979,0.38,0.26,0.23,0.02,0.03,NA,NA,NA,NA,NA
1980,0.39,0.27,0.23,0.02,0.03,NA,NA,NA,NA,NA
1981,0.41,0.29,0.25,0.02,0.03,NA,NA,NA,NA,NA
1982,0.4,0.28,0.25,0.01,0.03,NA,NA,NA,NA,NA
1983,0.4,0.28,0.25,0.01,0.02,NA,NA,NA,NA,NA
1984,0.41,0.28,0.25,0.01,0.02,0.86,0.75,0.61,-0.01,-0.01
1985,0.41,0.28,0.25,0.01,0.02,NA,NA,NA,NA,NA
1986,0.42,0.29,0.26,0.01,0.02,NA,NA,NA,NA,NA
1987,0.42,0.3,0.26,0.01,0.02,NA,NA,NA,NA,NA
1988,0.43,0.31,0.27,0.01,0.02,NA,NA,NA,NA,NA
1989,0.44,0.32,0.28,0.01,0.02,0.86,0.74,0.6,-0.01,-0.01
1990,0.44,0.32,0.28,0.01,0.02,NA,NA,NA,NA,NA
1991,0.43,0.31,0.27,0.01,0.02,NA,NA,NA,NA,NA
1992,0.44,0.31,0.28,0.01,0.02,NA,NA,NA,NA,NA
1993,0.45,0.31,0.27,0.01,0.02,NA,NA,NA,NA,NA
1994,0.47,0.34,0.3,0.01,0.02,0.85,0.72,0.55,-0.01,-0
1995,0.47,0.34,0.29,0.01,0.02,NA,NA,NA,NA,NA
1996,0.46,0.33,0.29,0.01,0.02,NA,NA,NA,NA,NA
1997,0.45,0.32,0.28,0.01,0.02,NA,NA,NA,NA,NA
1999,0.46,0.34,0.29,0.01,0.02,0.86,0.75,0.6,-0.01,-0
2001,0.48,0.36,0.31,0.01,0.02,0.85,0.72,0.56,-0.01,-0
2003,0.46,0.33,0.29,0.01,0.02,0.87,0.75,0.58,-0.01,-0
2005,0.49,0.36,0.31,0.01,0.02,0.86,0.74,0.57,-0.01,-0
2007,0.48,0.35,0.3,0.01,0.02,0.88,0.76,0.59,-0.02,-0
2009,0.48,0.35,0.32,0.01,0.02,0.92,0.82,0.66,-0.02,-0.01
2011,0.48,0.34,0.32,0.01,0.02,0.9,0.77,0.6,-0.02,-0.01
2013,0.49,0.35,0.32,0.01,0.01,0.9,0.77,0.6,-0.03,-0.01
2015,0.48,0.34,0.31,0.01,0.01,0.91,0.79,0.62,-0.03,-0.01
2017,0.48,0.34,0.31,0.01,0.01,0.92,0.79,0.6,-0.03,-0.01
2019,0.49,0.35,0.32,0.01,0.01,0.91,0.78,0.61,-0.03,-0.01
2021,0.51,0.36,0.33,0.01,0.01,0.9,0.78,0.6,-0.02,-0.01
