"year","r_hh_u_wealth","r_hh_w_wealth","r_hh_w_wealth_se","r_cl_u_wealth_mean","r_cl_w_wealth_mean","r_cl_w_wealth_mean_se","r_cl_u_wealth","r_cl_w_wealth","r_cl_w_wealth_se"
"ALL",0.933,0.882,0.011,0.784,0.744,0.017,0.784,0.748,0.018
"1984",0.897,0.858,0.018,0.782,0.726,0.027,0.795,0.745,0.032
"1989",0.881,0.856,0.013,0.775,0.745,0.02,0.767,0.737,0.017
"1994",0.88,0.846,0.009,0.746,0.71,0.014,0.734,0.705,0.013
"1999",0.886,0.858,0.016,0.757,0.725,0.018,0.767,0.739,0.022
"2001",0.886,0.848,0.01,0.757,0.724,0.018,0.75,0.714,0.016
"2003",0.9,0.866,0.011,0.758,0.725,0.019,0.756,0.726,0.017
"2005",0.903,0.863,0.011,0.755,0.718,0.016,0.75,0.72,0.017
"2007",0.922,0.883,0.014,0.773,0.737,0.027,0.771,0.737,0.023
"2009",0.962,0.916,0.014,0.822,0.786,0.025,0.829,0.793,0.024
"2011",0.964,0.899,0.009,0.792,0.746,0.015,0.799,0.759,0.014
"2013",0.982,0.903,0.01,0.805,0.756,0.014,0.804,0.76,0.015
"2015",0.995,0.912,0.008,0.821,0.77,0.012,0.824,0.78,0.013
"2017",0.988,0.916,0.012,0.815,0.772,0.013,0.802,0.764,0.015
"2019",0.987,0.907,0.008,0.812,0.768,0.013,0.815,0.772,0.014
"2021",0.96,0.896,0.007,0.796,0.759,0.011,0.797,0.765,0.011
