"year","r_hh_u_wealth_black","r_hh_u_wealth_nonblack","r_hh_w_wealth_black","r_hh_w_wealth_black_se","r_hh_w_wealth_nonblack","r_hh_w_wealth_nonblack_se","r_cl_u_wealth_mean_black","r_cl_u_wealth_mean_nonblack","r_cl_w_wealth_mean_black","r_cl_w_wealth_mean_black_se","r_cl_w_wealth_mean_nonblack","r_cl_w_wealth_mean_nonblack_se","r_cl_u_wealth_black","r_cl_u_wealth_nonblack","r_cl_w_wealth_black","r_cl_w_wealth_black_se","r_cl_w_wealth_nonblack","r_cl_w_wealth_nonblack_se"
"ALL",0.883,0.839,0.878,0.016,0.833,0.012,0.74,0.704,0.725,0.033,0.703,0.019,0.745,0.711,0.74,0.031,0.709,0.019
"1984",0.916,0.824,0.866,0.016,0.824,0.021,0.804,0.692,0.724,0.023,0.69,0.03,0.85,0.709,0.751,0.031,0.712,0.036
"1989",0.844,0.816,0.842,0.014,0.822,0.013,0.715,0.702,0.702,0.029,0.707,0.021,0.731,0.697,0.727,0.024,0.699,0.017
"1994",0.849,0.809,0.835,0.011,0.809,0.011,0.677,0.675,0.639,0.021,0.675,0.016,0.692,0.668,0.649,0.022,0.672,0.014
"1999",0.864,0.829,0.828,0.015,0.826,0.02,0.75,0.689,0.659,0.026,0.691,0.021,0.753,0.705,0.699,0.025,0.707,0.025
"2001",0.868,0.824,0.883,0.019,0.813,0.011,0.747,0.694,0.794,0.043,0.692,0.021,0.735,0.69,0.737,0.037,0.684,0.018
"2003",0.889,0.829,0.939,0.03,0.823,0.011,0.783,0.69,0.826,0.06,0.688,0.02,0.773,0.693,0.841,0.061,0.69,0.017
"2005",0.895,0.832,0.939,0.027,0.821,0.011,0.715,0.696,0.748,0.047,0.686,0.017,0.753,0.692,0.833,0.058,0.686,0.017
"2007",0.882,0.847,0.89,0.015,0.841,0.015,0.723,0.709,0.729,0.025,0.707,0.029,0.716,0.712,0.728,0.025,0.708,0.024
"2009",0.911,0.873,0.91,0.015,0.871,0.02,0.727,0.757,0.727,0.02,0.751,0.029,0.779,0.764,0.796,0.028,0.757,0.028
"2011",0.877,0.849,0.864,0.009,0.835,0.008,0.73,0.694,0.711,0.03,0.689,0.016,0.721,0.714,0.698,0.016,0.709,0.015
"2013",0.891,0.846,0.872,0.017,0.836,0.011,0.77,0.706,0.73,0.055,0.704,0.016,0.739,0.715,0.718,0.028,0.711,0.016
"2015",0.882,0.859,0.869,0.015,0.846,0.007,0.731,0.721,0.698,0.019,0.717,0.012,0.727,0.732,0.726,0.042,0.73,0.014
"2017",0.88,0.853,0.872,0.013,0.843,0.008,0.735,0.718,0.771,0.057,0.72,0.014,0.706,0.718,0.747,0.028,0.715,0.014
"2019",0.908,0.849,0.88,0.01,0.841,0.008,0.769,0.71,0.718,0.023,0.716,0.016,0.788,0.726,0.741,0.025,0.729,0.016
"2021",0.89,0.842,0.886,0.008,0.837,0.008,0.723,0.709,0.701,0.024,0.715,0.012,0.715,0.725,0.71,0.021,0.728,0.013
