"year","hh_w_wealth","r_hh_w_wealth","cl_w_wealth","r_cl_w_wealth","all_hh_diff","robust_hh_diff","diff_samples"
"1984",0.856,0.858,0.797,0.745,0.0589999999999999,0.113,-0.054
"1989",0.841,0.856,0.765,0.736,0.076,0.12,-0.044
"1994",0.834,0.846,0.738,0.705,0.096,0.141,-0.045
"1999",0.859,0.858,0.8,0.739,0.0589999999999999,0.119,-0.06
"2001",0.85,0.848,0.777,0.714,0.073,0.134,-0.061
"2003",0.865,0.866,0.783,0.726,0.082,0.14,-0.058
"2005",0.865,0.863,0.776,0.72,0.089,0.143,-0.054
"2007",0.88,0.883,0.784,0.737,0.096,0.146,-0.05
"2009",0.913,0.915,0.822,0.793,0.0910000000000001,0.122,-0.0309999999999999
"2011",0.896,0.898,0.792,0.758,0.104,0.14,-0.036
"2013",0.899,0.902,0.792,0.76,0.107,0.142,-0.035
"2015",0.909,0.912,0.807,0.78,0.102,0.132,-0.03
"2017",0.91,0.916,0.794,0.764,0.116,0.152,-0.036
"2019",0.912,0.907,0.837,0.772,0.0750000000000001,0.135,-0.0599999999999999
"2021",0.893,0.896,0.817,0.765,0.0760000000000001,0.131,-0.0549999999999999
