"year","r_hh_w_wealth_nohouse","r_cl_w_wealth_nohouse","r_hh_w_wealth_withhome","r_cl_w_wealth_withhome","diff_nohouse","diff_withhome","diff_wealth"
"ALL",0.882,0.748,0.831,0.692,0.134,0.139,-0.005
"1984",0.858,0.745,NA,NA,0.113,NA,NA
"1989",0.856,0.736,NA,NA,0.12,NA,NA
"1994",0.846,0.705,NA,NA,0.141,NA,NA
"1999",0.858,0.739,NA,NA,0.119,NA,NA
"2001",0.848,0.714,NA,NA,0.134,NA,NA
"2003",0.866,0.726,NA,NA,0.14,NA,NA
"2005",0.863,0.72,NA,NA,0.143,NA,NA
"2007",0.883,0.737,NA,NA,0.146,NA,NA
"2009",0.915,0.793,0.85,0.717,0.122,0.133,-0.011
"2011",0.898,0.758,0.835,0.689,0.14,0.146,-0.006
"2013",0.902,0.76,0.836,0.691,0.142,0.145,-0.003
"2015",0.912,0.78,0.838,0.702,0.132,0.136,-0.004
"2017",0.916,0.764,0.831,0.68,0.152,0.151,0.00100000000000011
"2019",0.907,0.772,0.821,0.688,0.135,0.133,0.002
"2021",0.896,0.765,0.805,0.68,0.131,0.125,0.006
