"year","hh_w_wealth","hh_w_wealth_se","r_hh_w_wealth","r_hh_w_wealth_se","cl_w_wealth","cl_w_wealth_se","r_cl_w_wealth","r_cl_w_wealth_se"
"ALL",0.879,0.011,0.882,0.011,0.792,0.014,0.748,0.018
"1984",0.856,0.014,0.858,0.018,0.797,0.02,0.745,0.032
"1989",0.841,0.012,0.856,0.013,0.765,0.013,0.736,0.017
"1994",0.834,0.009,0.846,0.009,0.738,0.01,0.705,0.013
"1999",0.859,0.014,0.858,0.016,0.8,0.016,0.739,0.022
"2001",0.85,0.01,0.848,0.01,0.777,0.013,0.714,0.016
"2003",0.865,0.011,0.866,0.011,0.783,0.013,0.726,0.017
"2005",0.865,0.011,0.863,0.011,0.776,0.014,0.72,0.017
"2007",0.88,0.014,0.883,0.014,0.784,0.02,0.737,0.023
"2009",0.913,0.013,0.915,0.014,0.822,0.019,0.793,0.024
"2011",0.896,0.009,0.898,0.009,0.792,0.013,0.758,0.014
"2013",0.899,0.01,0.902,0.01,0.792,0.013,0.76,0.015
"2015",0.909,0.009,0.912,0.008,0.807,0.013,0.78,0.013
"2017",0.91,0.011,0.916,0.012,0.794,0.014,0.764,0.015
"2019",0.912,0.01,0.907,0.008,0.837,0.012,0.772,0.014
"2021",0.893,0.007,0.896,0.007,0.817,0.009,0.765,0.011
