"year","hh_w_wealth","r_hh_w_wealth","cl_w_wealth","r_cl_w_wealth","all_hh_diff","robust_hh_diff","diff_samples"
"1984",NA,NA,NA,NA,NA,NA,NA
"1989",NA,NA,NA,NA,NA,NA,NA
"1994",NA,NA,NA,NA,NA,NA,NA
"1999",NA,NA,NA,NA,NA,NA,NA
"2001",NA,NA,NA,NA,NA,NA,NA
"2003",NA,NA,NA,NA,NA,NA,NA
"2005",NA,NA,NA,NA,NA,NA,NA
"2007",NA,NA,NA,NA,NA,NA,NA
"2009",0.847,0.85,0.753,0.717,0.094,0.133,-0.039
"2011",0.832,0.835,0.727,0.689,0.105,0.146,-0.041
"2013",0.831,0.836,0.725,0.691,0.106,0.145,-0.039
"2015",0.836,0.838,0.734,0.702,0.102,0.136,-0.034
"2017",0.828,0.831,0.715,0.68,0.113,0.151,-0.0379999999999999
"2019",0.826,0.821,0.761,0.688,0.065,0.133,-0.0680000000000001
"2021",0.802,0.805,0.74,0.68,0.062,0.125,-0.063
