"year","hh_w_inc","r_hh_w_inc","cl_w_inc","r_cl_w_inc","r_hh_unw_inc","r_cl_unw_inc","neg_r_hh_inc","neg_r_cl_inc","r_cl_agewt_inc"
"1969",0.401,0.413,0.372,0.296,0.447,0.317,0.413,0.296,0.299
"1970",0.396,0.388,0.372,0.271,0.424,0.292,0.388,0.271,0.274
"1971",0.401,0.39,0.373,0.263,0.431,0.296,0.39,0.263,0.264
"1972",0.396,0.391,0.372,0.263,0.428,0.295,0.391,0.263,0.266
"1973",0.396,0.392,0.372,0.258,0.424,0.285,0.392,0.258,0.257
"1974",0.386,0.382,0.369,0.26,0.417,0.286,0.382,0.26,0.258
"1975",0.391,0.391,0.374,0.268,0.421,0.291,0.391,0.268,0.265
"1976",0.398,0.401,0.374,0.264,0.429,0.289,0.401,0.264,0.262
"1977",0.394,0.391,0.378,0.271,0.429,0.302,0.391,0.271,0.268
"1978",0.398,0.395,0.377,0.264,0.426,0.292,0.395,0.264,0.262
"1979",0.398,0.395,0.381,0.265,0.42,0.29,0.395,0.265,0.264
"1980",0.403,0.401,0.376,0.265,0.423,0.288,0.401,0.265,0.267
"1981",0.423,0.422,0.391,0.282,0.437,0.302,0.422,0.282,0.281
"1982",0.423,0.423,0.382,0.278,0.444,0.303,0.423,0.278,0.278
"1983",0.426,0.423,0.394,0.283,0.449,0.309,0.423,0.283,0.288
"1984",0.418,0.422,0.384,0.292,0.45,0.316,0.422,0.292,0.298
"1985",0.43,0.427,0.401,0.29,0.453,0.316,0.427,0.29,0.294
"1986",0.432,0.432,0.399,0.301,0.453,0.32,0.432,0.301,0.304
"1987",0.43,0.433,0.391,0.309,0.453,0.325,0.433,0.309,0.312
"1988",0.436,0.438,0.399,0.324,0.455,0.334,0.438,0.324,0.325
"1989",0.439,0.438,0.406,0.327,0.451,0.333,0.438,0.327,0.33
"1990",0.439,0.439,0.399,0.326,0.455,0.337,0.439,0.326,0.328
"1991",0.432,0.431,0.393,0.317,0.45,0.333,0.431,0.317,0.319
"1992",0.442,0.443,0.391,0.32,0.458,0.333,0.443,0.32,0.323
"1993",0.445,0.446,0.396,0.322,0.469,0.336,0.446,0.322,0.324
"1994",0.475,0.473,0.425,0.351,0.489,0.352,0.475,0.356,0.347
"1995",0.466,0.465,0.409,0.343,0.48,0.348,0.465,0.343,0.344
"1996",0.451,0.45,0.401,0.336,0.469,0.343,0.45,0.336,0.334
"1997",0.451,0.438,0.401,0.326,0.463,0.336,0.438,0.326,0.327
"1999",0.465,0.454,0.406,0.344,0.467,0.344,0.455,0.344,0.339
"2001",0.466,0.457,0.419,0.357,0.473,0.357,0.458,0.358,0.356
"2003",0.456,0.443,0.413,0.337,0.459,0.339,0.443,0.341,0.338
"2005",0.491,0.487,0.41,0.35,0.485,0.351,0.487,0.35,0.35
"2007",0.473,0.469,0.399,0.351,0.48,0.353,0.47,0.351,0.346
"2009",0.464,0.459,0.402,0.359,0.477,0.356,0.459,0.359,0.354
"2011",0.465,0.462,0.395,0.346,0.487,0.352,0.462,0.346,0.345
"2013",0.473,0.47,0.413,0.361,0.493,0.361,0.47,0.361,0.359
"2015",0.464,0.461,0.401,0.345,0.482,0.347,0.461,0.345,0.345
"2017",0.463,0.46,0.395,0.348,0.472,0.345,0.46,0.348,0.343
"2019",0.47,0.471,0.389,0.337,0.478,0.342,0.471,0.338,0.337
"2021",0.482,0.483,0.4,0.341,0.489,0.351,0.488,0.341,0.343
"2023",0.48,0.479,0.425,0.357,0.485,0.36,0.479,0.357,NA
"ALL",0.436,0.434,0.393,0.311,0.455,0.325,0.434,0.311,0.31
