"year","r_hh_w_wealth_black","r_hh_w_wealth_black_se","r_hh_w_wealth_nonblack","r_hh_w_wealth_nonblack_se","r_cl_w_wealth_black","r_cl_w_wealth_black_se","r_cl_w_wealth_nonblack","r_cl_w_wealth_nonblack_se"
"ALL",1.126,0.056,0.862,0.012,0.866,0.042,0.726,0.019
"1984",0.952,0.021,0.843,0.02,0.796,0.031,0.725,0.035
"1989",0.941,0.026,0.841,0.014,0.777,0.03,0.713,0.018
"1994",0.947,0.032,0.83,0.01,0.708,0.035,0.684,0.014
"1999",0.966,0.04,0.843,0.019,0.77,0.033,0.717,0.025
"2001",1.006,0.038,0.831,0.01,0.812,0.046,0.694,0.017
"2003",1.001,0.016,0.846,0.011,0.881,0.047,0.703,0.018
"2005",1.003,0.009,0.842,0.01,0.87,0.046,0.697,0.017
"2007",1.025,0.034,0.867,0.015,0.799,0.025,0.721,0.025
"2009",1.116,0.041,0.9,0.016,0.9,0.029,0.776,0.027
"2011",1.344,0.12,0.874,0.009,0.94,0.055,0.733,0.015
"2013",1.487,0.201,0.875,0.01,1.016,0.08,0.734,0.016
"2015",1.341,0.064,0.888,0.009,0.949,0.039,0.757,0.015
"2017",1.221,0.052,0.893,0.012,0.929,0.037,0.742,0.016
"2019",1.246,0.077,0.883,0.008,0.931,0.047,0.753,0.016
"2021",1.295,0.068,0.871,0.007,0.91,0.05,0.744,0.012
