"year","hh_w_wealth","r_hh_w_wealth","cl_w_wealth","r_cl_w_wealth","r_hh_unw_wealth","r_cl_unw_wealth","neg_r_hh_wealth","neg_r_cl_wealth"
"1984",0.833,0.831,0.798,0.711,0.866,0.761,0.856,0.726
"1989",0.818,0.827,0.754,0.729,0.855,0.758,0.851,0.745
"1994",0.813,0.823,0.714,0.695,0.853,0.728,0.85,0.71
"1999",0.846,0.843,0.777,0.714,0.869,0.743,0.866,0.725
"2001",0.834,0.83,0.77,0.712,0.86,0.742,0.854,0.724
"2003",0.852,0.852,0.76,0.711,0.872,0.739,0.883,0.725
"2005",0.851,0.848,0.766,0.706,0.872,0.738,0.874,0.718
"2007",0.866,0.867,0.766,0.723,0.887,0.75,0.898,0.737
"2009",0.884,0.885,0.804,0.766,0.904,0.793,0.923,0.786
"2011",0.859,0.858,0.769,0.713,0.891,0.748,0.911,0.746
"2013",0.858,0.859,0.768,0.729,0.891,0.759,0.915,0.756
"2015",0.87,0.87,0.79,0.737,0.9,0.769,0.923,0.769
"2017",0.862,0.862,0.784,0.741,0.892,0.767,0.93,0.772
"2019",0.866,0.862,0.8,0.735,0.893,0.76,0.912,0.768
"2021",0.861,0.86,0.785,0.735,0.888,0.756,0.901,0.759
"2023",0.867,0.864,0.792,0.732,0.897,0.767,0.898,0.753
"ALL",0.853,0.853,0.775,0.724,0.881,0.755,0.89,0.745
