"year","hh_w_wealth","hh_w_wealth_se","r_hh_w_wealth","r_hh_w_wealth_se","cl_w_wealth","cl_w_wealth_se","r_cl_w_wealth","r_cl_w_wealth_se","r_hh_unw_wealth","r_cl_unw_wealth","neg_r_hh_wealth","neg_r_hh_wealth_se","neg_r_cl_wealth","neg_r_cl_wealth_se"
"ALL",0.813,0.011,0.817,0.012,0.706,0.019,0.657,0.017,0.868,0.696,0.817,0.012,0.657,0.017
"1984",0.765,0.015,0.775,0.017,0.702,0.019,0.61,0.026,0.825,0.674,0.775,0.017,0.61,0.026
"1989",0.764,0.011,0.783,0.012,0.674,0.011,0.654,0.02,0.821,0.689,0.783,0.012,0.654,0.02
"1994",0.765,0.01,0.778,0.011,0.645,0.012,0.626,0.015,0.823,0.666,0.778,0.011,0.626,0.015
"1999",0.799,0.013,0.799,0.016,0.706,0.016,0.648,0.018,0.837,0.682,0.799,0.016,0.648,0.018
"2001",0.784,0.011,0.781,0.01,0.703,0.023,0.645,0.02,0.826,0.679,0.781,0.01,0.645,0.02
"2003",0.804,0.013,0.807,0.013,0.687,0.024,0.644,0.02,0.842,0.678,0.807,0.013,0.644,0.02
"2005",0.795,0.013,0.796,0.014,0.682,0.024,0.635,0.015,0.836,0.671,0.796,0.014,0.635,0.015
"2007",0.818,0.018,0.822,0.018,0.683,0.03,0.651,0.025,0.86,0.686,0.822,0.018,0.651,0.025
"2009",0.859,0.015,0.863,0.016,0.746,0.021,0.709,0.026,0.907,0.743,0.863,0.016,0.709,0.026
"2011",0.847,0.009,0.85,0.01,0.724,0.019,0.672,0.014,0.915,0.716,0.85,0.01,0.672,0.014
"2013",0.845,0.009,0.851,0.009,0.72,0.019,0.686,0.012,0.924,0.728,0.851,0.009,0.686,0.012
"2015",0.851,0.008,0.855,0.008,0.737,0.021,0.688,0.011,0.925,0.731,0.855,0.008,0.688,0.011
"2017",0.843,0.01,0.848,0.011,0.724,0.021,0.683,0.015,0.914,0.719,0.848,0.011,0.683,0.015
"2019",0.838,0.009,0.834,0.009,0.753,0.022,0.673,0.016,0.902,0.71,0.834,0.009,0.673,0.016
"2021",0.818,0.008,0.819,0.009,0.711,0.013,0.658,0.012,0.871,0.686,0.819,0.009,0.658,0.012
"2023",0.81,0.007,0.81,0.008,0.693,0.013,0.637,0.012,0.863,0.677,0.81,0.008,0.637,0.012
