"year","variable","level","race_group","gini"
1969,"inc_all","household","Black",0.352877935128836
1969,"inc_all","household","Non-Black",0.39490658573744
1969,"inc_all_median_clan","clan","Black",0.346020392344767
1969,"inc_all_median_clan","clan","Non-Black",0.390434851498618
1969,"wealth_home","household","Black",NA
1969,"wealth_home","household","Non-Black",NA
1969,"wealth_home_median_clan","clan","Black",NA
1969,"wealth_home_median_clan","clan","Non-Black",NA
1969,"wealth_nohouse","household","Black",NA
1969,"wealth_nohouse","household","Non-Black",NA
1969,"wealth_nohouse_median_clan","clan","Black",NA
1969,"wealth_nohouse_median_clan","clan","Non-Black",NA
1970,"inc_all","household","Black",0.353027645675349
1970,"inc_all","household","Non-Black",0.392936521520568
1970,"inc_all_median_clan","clan","Black",0.341694213117798
1970,"inc_all_median_clan","clan","Non-Black",0.386112617622634
1970,"wealth_home","household","Black",NA
1970,"wealth_home","household","Non-Black",NA
1970,"wealth_home_median_clan","clan","Black",NA
1970,"wealth_home_median_clan","clan","Non-Black",NA
1970,"wealth_nohouse","household","Black",NA
1970,"wealth_nohouse","household","Non-Black",NA
1970,"wealth_nohouse_median_clan","clan","Black",NA
1970,"wealth_nohouse_median_clan","clan","Non-Black",NA
1971,"inc_all","household","Black",0.348119188733729
1971,"inc_all","household","Non-Black",0.395747474017076
1971,"inc_all_median_clan","clan","Black",0.326368721054759
1971,"inc_all_median_clan","clan","Non-Black",0.385350935037666
1971,"wealth_home","household","Black",NA
1971,"wealth_home","household","Non-Black",NA
1971,"wealth_home_median_clan","clan","Black",NA
1971,"wealth_home_median_clan","clan","Non-Black",NA
1971,"wealth_nohouse","household","Black",NA
1971,"wealth_nohouse","household","Non-Black",NA
1971,"wealth_nohouse_median_clan","clan","Black",NA
1971,"wealth_nohouse_median_clan","clan","Non-Black",NA
1972,"inc_all","household","Black",0.368425533146391
1972,"inc_all","household","Non-Black",0.393947102689491
1972,"inc_all_median_clan","clan","Black",0.331263374081252
1972,"inc_all_median_clan","clan","Non-Black",0.38266909000599
1972,"wealth_home","household","Black",NA
1972,"wealth_home","household","Non-Black",NA
1972,"wealth_home_median_clan","clan","Black",NA
1972,"wealth_home_median_clan","clan","Non-Black",NA
1972,"wealth_nohouse","household","Black",NA
1972,"wealth_nohouse","household","Non-Black",NA
1972,"wealth_nohouse_median_clan","clan","Black",NA
1972,"wealth_nohouse_median_clan","clan","Non-Black",NA
1973,"inc_all","household","Black",0.39348861768876
1973,"inc_all","household","Non-Black",0.393375746226997
1973,"inc_all_median_clan","clan","Black",0.358706321942318
1973,"inc_all_median_clan","clan","Non-Black",0.382067903284192
1973,"wealth_home","household","Black",NA
1973,"wealth_home","household","Non-Black",NA
1973,"wealth_home_median_clan","clan","Black",NA
1973,"wealth_home_median_clan","clan","Non-Black",NA
1973,"wealth_nohouse","household","Black",NA
1973,"wealth_nohouse","household","Non-Black",NA
1973,"wealth_nohouse_median_clan","clan","Black",NA
1973,"wealth_nohouse_median_clan","clan","Non-Black",NA
1974,"inc_all","household","Black",0.385252138825439
1974,"inc_all","household","Non-Black",0.395370554408248
1974,"inc_all_median_clan","clan","Black",0.367437437533724
1974,"inc_all_median_clan","clan","Non-Black",0.380268895587961
1974,"wealth_home","household","Black",NA
1974,"wealth_home","household","Non-Black",NA
1974,"wealth_home_median_clan","clan","Black",NA
1974,"wealth_home_median_clan","clan","Non-Black",NA
1974,"wealth_nohouse","household","Black",NA
1974,"wealth_nohouse","household","Non-Black",NA
1974,"wealth_nohouse_median_clan","clan","Black",NA
1974,"wealth_nohouse_median_clan","clan","Non-Black",NA
1975,"inc_all","household","Black",0.377682499284539
1975,"inc_all","household","Non-Black",0.397421102790906
1975,"inc_all_median_clan","clan","Black",0.344112079714006
1975,"inc_all_median_clan","clan","Non-Black",0.383144111914926
1975,"wealth_home","household","Black",NA
1975,"wealth_home","household","Non-Black",NA
1975,"wealth_home_median_clan","clan","Black",NA
1975,"wealth_home_median_clan","clan","Non-Black",NA
1975,"wealth_nohouse","household","Black",NA
1975,"wealth_nohouse","household","Non-Black",NA
1975,"wealth_nohouse_median_clan","clan","Black",NA
1975,"wealth_nohouse_median_clan","clan","Non-Black",NA
1976,"inc_all","household","Black",0.393378656754846
