"year","variable","level","race_group","gini"
1969,"inc_all","household","Black",0.40005882304547
1969,"inc_all","household","Non-Black",0.401355110821803
1969,"inc_all_median_clan","clan","Black",0.268399712041331
1969,"inc_all_median_clan","clan","Non-Black",0.320682556097759
1969,"wealth_home","household","Black",NA
1969,"wealth_home","household","Non-Black",NA
1969,"wealth_home_median_clan","clan","Black",NA
1969,"wealth_home_median_clan","clan","Non-Black",NA
1969,"wealth_nohouse","household","Black",NA
1969,"wealth_nohouse","household","Non-Black",NA
1969,"wealth_nohouse_median_clan","clan","Black",NA
1969,"wealth_nohouse_median_clan","clan","Non-Black",NA
1970,"inc_all","household","Black",0.424984214493577
1970,"inc_all","household","Non-Black",0.375906109199331
1970,"inc_all_median_clan","clan","Black",0.332897262386533
1970,"inc_all_median_clan","clan","Non-Black",0.290615286179276
1970,"wealth_home","household","Black",NA
1970,"wealth_home","household","Non-Black",NA
1970,"wealth_home_median_clan","clan","Black",NA
1970,"wealth_home_median_clan","clan","Non-Black",NA
1970,"wealth_nohouse","household","Black",NA
1970,"wealth_nohouse","household","Non-Black",NA
1970,"wealth_nohouse_median_clan","clan","Black",NA
1970,"wealth_nohouse_median_clan","clan","Non-Black",NA
1971,"inc_all","household","Black",0.447160239977018
1971,"inc_all","household","Non-Black",0.382581720073198
1971,"inc_all_median_clan","clan","Black",0.415341428663832
1971,"inc_all_median_clan","clan","Non-Black",0.295766426221784
1971,"wealth_home","household","Black",NA
1971,"wealth_home","household","Non-Black",NA
1971,"wealth_home_median_clan","clan","Black",NA
1971,"wealth_home_median_clan","clan","Non-Black",NA
1971,"wealth_nohouse","household","Black",NA
1971,"wealth_nohouse","household","Non-Black",NA
1971,"wealth_nohouse_median_clan","clan","Black",NA
1971,"wealth_nohouse_median_clan","clan","Non-Black",NA
1972,"inc_all","household","Black",0.447432956529785
1972,"inc_all","household","Non-Black",0.379075690786989
1972,"inc_all_median_clan","clan","Black",0.404350806312372
1972,"inc_all_median_clan","clan","Non-Black",0.298291640718823
1972,"wealth_home","household","Black",NA
1972,"wealth_home","household","Non-Black",NA
1972,"wealth_home_median_clan","clan","Black",NA
1972,"wealth_home_median_clan","clan","Non-Black",NA
1972,"wealth_nohouse","household","Black",NA
1972,"wealth_nohouse","household","Non-Black",NA
1972,"wealth_nohouse_median_clan","clan","Black",NA
1972,"wealth_nohouse_median_clan","clan","Non-Black",NA
1973,"inc_all","household","Black",0.435092008578427
1973,"inc_all","household","Non-Black",0.373707810247435
1973,"inc_all_median_clan","clan","Black",0.3780008871372
1973,"inc_all_median_clan","clan","Non-Black",0.290272672669698
1973,"wealth_home","household","Black",NA
1973,"wealth_home","household","Non-Black",NA
1973,"wealth_home_median_clan","clan","Black",NA
1973,"wealth_home_median_clan","clan","Non-Black",NA
