"year","r_hh_w_inc_black","r_hh_w_inc_black_se","r_hh_w_inc_nonblack","r_hh_w_inc_nonblack_se","r_cl_w_inc_black","r_cl_w_inc_black_se","r_cl_w_inc_nonblack","r_cl_w_inc_nonblack_se"
"ALL",0.471,0.016,0.421,0.01,0.307,0.018,0.298,0.011
"1969",0.506,0.046,0.399,0.018,0.351,0.03,0.286,0.016
"1970",0.486,0.041,0.374,0.011,0.36,0.029,0.258,0.012
"1971",0.486,0.017,0.372,0.01,0.319,0.02,0.245,0.011
"1972",0.436,0.014,0.377,0.009,0.284,0.018,0.249,0.011
"1973",0.434,0.016,0.379,0.009,0.273,0.014,0.244,0.009
"1974",0.442,0.019,0.366,0.008,0.279,0.02,0.247,0.01
"1975",0.426,0.014,0.379,0.009,0.28,0.014,0.258,0.008
"1976",0.438,0.015,0.39,0.009,0.292,0.017,0.251,0.008
"1977",0.455,0.014,0.377,0.008,0.317,0.019,0.257,0.009
"1978",0.446,0.014,0.38,0.008,0.309,0.015,0.25,0.006
"1979",0.446,0.012,0.381,0.007,0.291,0.012,0.251,0.006
"1980",0.431,0.012,0.389,0.006,0.291,0.013,0.251,0.007
"1981",0.435,0.014,0.411,0.015,0.283,0.015,0.268,0.011
"1982",0.465,0.019,0.408,0.009,0.307,0.016,0.262,0.008
"1983",0.469,0.014,0.406,0.008,0.309,0.022,0.267,0.006
"1984",0.473,0.016,0.403,0.008,0.314,0.02,0.275,0.006
"1985",0.486,0.014,0.408,0.011,0.324,0.022,0.272,0.008
"1986",0.484,0.012,0.414,0.01,0.329,0.022,0.284,0.009
"1987",0.469,0.01,0.417,0.009,0.32,0.017,0.292,0.012
"1988",0.476,0.012,0.422,0.011,0.321,0.017,0.309,0.021
"1989",0.459,0.009,0.424,0.01,0.325,0.022,0.311,0.02
"1990",0.457,0.011,0.425,0.011,0.313,0.017,0.31,0.015
"1991",0.473,0.012,0.415,0.008,0.304,0.022,0.302,0.009
"1992",0.476,0.012,0.428,0.014,0.292,0.019,0.305,0.012
"1993",0.496,0.011,0.431,0.008,0.297,0.015,0.309,0.008
"1994",0.504,0.014,0.46,0.012,0.315,0.021,0.336,0.014
"1995",0.51,0.019,0.451,0.012,0.302,0.017,0.33,0.011
"1996",0.491,0.011,0.436,0.009,0.298,0.017,0.323,0.01
"1997",0.475,0.009,0.424,0.009,0.282,0.016,0.311,0.009
"1999",0.51,0.032,0.439,0.01,0.306,0.02,0.331,0.014
"2001",0.46,0.011,0.449,0.012,0.286,0.015,0.351,0.012
"2003",0.467,0.014,0.433,0.007,0.283,0.016,0.33,0.011
"2005",0.481,0.013,0.479,0.031,0.306,0.023,0.341,0.014
"2007",0.475,0.014,0.46,0.009,0.311,0.016,0.341,0.013
"2009",0.475,0.013,0.449,0.007,0.289,0.02,0.349,0.018
"2011",0.492,0.015,0.45,0.006,0.311,0.017,0.337,0.009
"2013",0.476,0.011,0.46,0.007,0.304,0.014,0.353,0.01
"2015",0.481,0.014,0.449,0.007,0.336,0.016,0.331,0.013
"2017",0.47,0.015,0.45,0.009,0.308,0.02,0.338,0.012
"2019",0.479,0.021,0.462,0.007,0.319,0.02,0.329,0.008
"2021",0.481,0.015,0.475,0.011,0.323,0.018,0.331,0.011
"2023",0.501,0.02,0.467,0.006,0.333,0.018,0.347,0.01
