"year","r_hh_w_wealth_black","r_hh_w_wealth_black_se","r_hh_w_wealth_nonblack","r_hh_w_wealth_nonblack_se","r_cl_w_wealth_black","r_cl_w_wealth_black_se","r_cl_w_wealth_nonblack","r_cl_w_wealth_nonblack_se"
"ALL",0.878,0.016,0.833,0.012,0.74,0.031,0.709,0.019
"1984",0.866,0.016,0.824,0.021,0.751,0.031,0.712,0.036
"1989",0.843,0.014,0.822,0.013,0.727,0.024,0.698,0.017
"1994",0.836,0.011,0.809,0.011,0.649,0.022,0.672,0.014
"1999",0.828,0.015,0.826,0.02,0.699,0.025,0.707,0.025
"2001",0.883,0.019,0.813,0.011,0.737,0.037,0.684,0.018
"2003",0.939,0.03,0.823,0.011,0.841,0.061,0.69,0.017
"2005",0.939,0.027,0.821,0.011,0.833,0.058,0.686,0.017
"2007",0.89,0.015,0.841,0.015,0.728,0.025,0.707,0.024
"2009",0.91,0.015,0.871,0.02,0.796,0.028,0.757,0.028
"2011",0.864,0.009,0.835,0.008,0.698,0.016,0.708,0.014
"2013",0.872,0.017,0.836,0.011,0.718,0.028,0.711,0.015
"2015",0.869,0.015,0.846,0.007,0.726,0.042,0.729,0.014
"2017",0.872,0.013,0.843,0.008,0.747,0.028,0.715,0.014
"2019",0.88,0.01,0.841,0.008,0.741,0.025,0.729,0.016
"2021",0.886,0.008,0.837,0.008,0.71,0.021,0.728,0.013
