"year","hh_u_black_mean","hh_u_nonblack_mean","hh_u_mean_ratio","hh_u_black_median","hh_u_nonblack_median","hh_u_median_ratio","hh_w_black_mean","hh_w_nonblack_mean","hh_w_mean_ratio","hh_w_black_median","hh_w_nonblack_median","hh_w_median_ratio","r_hh_u_black_mean","r_hh_u_nonblack_mean","r_hh_u_mean_ratio","r_hh_u_black_median","r_hh_u_nonblack_median","r_hh_u_median_ratio","r_hh_w_black_mean","r_hh_w_nonblack_mean","r_hh_w_mean_ratio","r_hh_w_black_median","r_hh_w_nonblack_median","r_hh_w_median_ratio","cl_u_black_mean","cl_u_nonblack_mean","cl_u_mean_ratio","cl_u_black_median","cl_u_nonblack_median","cl_u_median_ratio","cl_w_black_mean","cl_w_nonblack_mean","cl_w_mean_ratio","cl_w_black_median","cl_w_nonblack_median","cl_w_median_ratio","r_cl_u_black_mean","r_cl_u_nonblack_mean","r_cl_u_mean_ratio","r_cl_u_black_median","r_cl_u_nonblack_median","r_cl_u_median_ratio","r_cl_w_black_mean","r_cl_w_nonblack_mean","r_cl_w_mean_ratio","r_cl_w_black_median","r_cl_w_nonblack_median","r_cl_w_median_ratio","neg_r_hh_w_black_mean","neg_r_hh_w_nonblack_mean","neg_r_hh_w_mean_ratio","neg_r_hh_w_black_median","neg_r_hh_w_nonblack_median","neg_r_hh_w_median_ratio","neg_r_cl_w_black_mean","neg_r_cl_w_nonblack_mean","neg_r_cl_w_mean_ratio","neg_r_cl_w_black_median","neg_r_cl_w_nonblack_median","neg_r_cl_w_median_ratio"
1984,3992.42815823689,30754.3105307211,0.129816864346504,206.3475,4585.5,0.045,3669.43418680943,37008.8353282097,0.099150220596443,254.75,6114,0.0416666666666667,4166.44757886426,23494.9175316737,0.177333994607448,203.8,3736.33333333333,0.0545454545454546,3786.34265385262,28633.0940682192,0.132236587664314,203.8,4840.25,0.0421052631578947,9302.92642042366,85227.4640424785,0.109154091641011,1732.3,20380,0.085,9153.4215913203,94240.9859440371,0.0971278207632065,2038,22978.45,0.0886917960088692,10394.2277031703,55231.7333593859,0.188193038149579,2496.55,19821.33325,0.125952677779634,9395.50576145717,59781.435098488,0.157164272586939,2955.1,23233.2,0.12719298245614,3575.57809338839,28276.2140166561,0.126451797658703,203.8,4840.25,0.0421052631578947,8967.32817646965,59089.6624201699,0.151757986239717,2836.21666666667,22787.3875,0.124464318986398
1989,7640.03594053011,48347.4480373849,0.158023561752885,474.1065,7992.6,0.0593181818181818,9343.58707118901,56975.5194110236,0.16399301257412,605.5,10273.3166666667,0.0589390962671906,6143.50726040255,42436.8038943013,0.144768377837888,454.125,6842.15,0.0663716814159292,6753.88926180731,51281.409649079,0.131702488446095,605.5,8618.28333333333,0.0702576112412178,21415.9544061162,124071.054145331,0.172610400980639,4462.535,41174,0.108382352941176,26911.7926535002,128412.972164752,0.209572227788427,4844,42385,0.114285714285714,14522.6125201092,106551.626698298,0.13629648809802,5728.93825,40568.5,0.141216417910448,14957.4503779301,116211.758268965,0.128708579929684,6256.83333333333,42839.125,0.14605418138987,6302.74366856501,50676.4083815637,0.124372343460275,605.5,8618.28333333333,0.0702576112412178,14230.6156219698,114913.844696088,0.123837259640955,5812.8,42566.65,0.136557610241821
1994,11824.8690185167,75142.9971429719,0.157364883862936,731,12183.3333333333,0.06,14523.3238754654,92994.7756779861,0.156173545982362,974.666666666667,16813,0.0579710144927536,11297.6195476955,70483.2002340831,0.160288118447726,731,10965,0.0666666666666667,14151.7131656831,88818.7253347712,0.159332540659002,974.666666666667,14620,0.0666666666666667,29601.6362161997,176931.881806139,0.16730526976836,8521.37142857143,64815.3333333333,0.131471535982814,31423.1765954834,185090.926522863,0.169771566795858,10124.35,68714,0.147340425531915,26492.522818426,169767.130718669,0.156052132743696,9800.62142857143,65738.83,0.149084208352528,29035.263027759,183693.176477934,0.158063917149621,12792.5,73465.5,0.174129353233831,13392.317396425,87576.5261089922,0.152921313409461,974.666666666667,14620,0.0666666666666667,27211.7121712428,181432.807369763,0.149982313373925,12339.28,71100.715,0.173546496684316
1999,17904.5724366024,137726.913378401,0.130000535098105,1675.86,15704.3416666667,0.106713164777681,17007.02629781,164850.708022172,0.103166231445743,1643,22180.5,0.0740740740740741,15914.3211591727,133648.327619117,0.119076096518969,1675.86,16635.375,0.100740740740741,16118.4001610178,162610.640040425,0.0991226660015041,1643,23002,0.0714285714285714,60149.9297624641,293187.584960357,0.205158515735232,10871.1833333333,75482.1583333333,0.144023217848721,37716.1930370343,302277.708146618,0.124773319436246,8625.75,83884.2777777777,0.102829162132753,46509.027124586,286246.87546543,0.16247872417459,14745.925,104474.2625,0.141144092785532,32513.9362116057,309928.276853638,0.104907937222393,14896.5333333333,110245.3,0.135121708892201,14691.3661517445,160773.251520535,0.0913794179865056,1643,23002,0.0714285714285714,29643.7334908982,307104.988583708,0.0965263821587784,12478.17425,106795,0.116842307692308
2001,23788.0524395182,149677.527229094,0.158928684084342,1840.301,17159.8,0.107244897959184,40818.8496438208,184741.271441918,0.220951438329004,1838.55,26265,0.07,23300.8282077714,140198.37628118,0.166198987647614,1781.6425,17510,0.10175,42363.8582577884,177564.413529312,0.238583043841693,1751,26265,0.0666666666666667,67109.4754559916,364639.82960135,0.184043184556554,15053.128125,93783.56,0.160509241971621,80704.5447804709,381853.979433284,0.211349230667298,14858.4023333333,108562,0.136865591397849,61471.9000670244,333515.344167933,0.184315058188363,18035.3,126527.26,0.142540824799336,89277.757759902,374290.113060056,0.238525557167408,20428.3333333333,140280.114285714,0.145625297194484,40158.5165022881,175496.391528009,0.22882816081081,1751,26265,0.0666666666666667,83715.6956206353,370617.884269645,0.225881424436948,17334.9,135965.15,0.127495170637476
2003,34704.8215219924,159686.885942594,0.217330442115757,1859.39666666667,18306.275,0.101571546732837,107993.46519796,206261.739178536,0.52357487931624,3088.9,27255,0.113333333333333,34255.8711323166,156673.219422911,0.218645351506112,1874.53833333333,18215.425,0.102909393183707,109668.376022422,205610.001554693,0.53338055149642,3179.75,27255,0.116666666666667,77930.6242645897,343243.051753953,0.227042102866667,15989.6,101652.065,0.157297345607293,115655.313494285,373048.954931139,0.310027174625469,18170,110231.333333333,0.164835164835165,81832.4386736751,347385.984111328,0.235566322236679,18701.8854545455,129779.67925,0.144104882695227,114142.195508962,383811.663861465,0.297391158884013,24180.1404545455,141726,0.170611888111888,107009.812502453,202346.553421943,0.528844256019082,3179.75,27255,0.116666666666667,109014.903778325,378912.397876099,0.287704768673134,21682.8666666667,135775.325,0.159696665551466
2005,40988.4722397496,196035.068273863,0.209087448489003,1970.56666666667,20023.5,0.0984126984126984,116164.992360748,244835.708863516,0.474460988145747,2542.66666666667,29367.8,0.0865800865800866,41155.8077412604,184633.512903459,0.222905403759392,1940.3725,20047.3375,0.0967895362663496,120392.547614573,236648.340062951,0.508740300407544,2669.8,29367.8,0.0909090909090909,79925.835271805,473990.876907465,0.16862315113168,19131.9775,129413.7875,0.147835697181801,98270.379335024,489759.552557367,0.200650255460843,22884,144932,0.157894736842105,80208.6255313943,437470.500079188,0.183346363964829,24791,164288.05,0.150899593731863,96305.5708948283,473863.945818301,0.203234645186017,31465.5,180497.55,0.1743264659271,117738.758592268,233367.501670855,0.5045207998084,2669.8,29367.8,0.0909090909090909,91279.717068725,468594.452390373,0.194794702760763,26732.9616666667,170390.45,0.156892370826338
2007,34638.0664487481,271515.179808135,0.127573222510892,2024.16,22274.194,0.0908746686861037,60570.2796293192,348962.456563423,0.173572481767278,3036.24,32386.56,0.09375,34185.2732303619,257335.074689338,0.132843427082885,2024.16,21860.928,0.0925925925925926,60845.5275450033,343436.462599813,0.177166766406813,3036.24,31678.104,0.0958466453674121,100172.508112515,609348.615624044,0.164392772124257,21928.4,173168.91216,0.126630119266091,115851.920858059,645933.331246061,0.179355848744592,19836.768,197117.7612,0.100634097502118,95555.4651411862,559489.175978532,0.170790551888805,29155.32592,199116.6192,0.14642336755786,114187.129068287,638610.951614938,0.178805466426042,35068.572,230551.824,0.152107111501317,56677.4301318015,338203.93197075,0.167583593134285,3036.24,31678.104,0.0958466453674121,106430.202916047,630961.043039986,0.168679515304563,27453.3929142857,223062.432,0.123074928701063
2009,41818.6725641307,286765.52071331,0.14582880277974,1055.715,19706.68,0.0535714285714286,88797.9762217351,382588.015119795,0.232098164899208,1759.525,29771.163,0.0591016548463357,35242.7866258301,275340.633937023,0.127997041780222,1055.715,19003.57381,0.0555534980185919,59506.9296324989,376960.044348583,0.15786004518153,1689.144,29560.02,0.0571428571428571,133292.163340866,640801.931783344,0.208008366906629,20938.3475,143154.954,0.146263520157325,243500.832510818,682473.52338914,0.35679161779288,21431.0145,165025.84975,0.129864591107794,75135.5930751627,585547.867960066,0.128316739222227,22887.9012,173981.832,0.131553398058252,79693.2086400768,643522.08971672,0.123839118988375,26392.875,197042.87046,0.133944836158676,53776.7125489195,370138.522420655,0.145288072684862,1689.144,29560.02,0.0571428571428571,68956.6495646183,633298.760764948,0.108884864201103,19425.156,188972.985,0.102793296089385
2011,30604.8174474129,258485.82906825,0.11840036863039,1477.255884,18381.2797333333,0.080367412140575,51258.077630968,326514.471998639,0.15698562246632,2268.2969,29363.0666666667,0.07725,28437.4197119777,244048.401152886,0.116523687832574,1468.15333333333,18168.3975,0.0808080808080808,39487.096629176,311158.346387937,0.126903543123813,2202.23,29069.436,0.0757575757575758,80175.4623771793,572652.422389775,0.140007200253504,19820.07,152886.147366667,0.129639410380756,117883.224581506,609952.545435902,0.193266222862076,19820.07,175737.954,0.112781954887218,67245.3465064943,490051.759736578,0.137220906099064,21912.1885,186455.473333333,0.11751968503937,64991.1453862237,534698.057212557,0.121547375214023,23490.4533333333,214232.9344,0.109649122807018,31069.4377156725,303585.788096495,0.102341542107356,2202.23,29069.436,0.0757575757575758,51335.9724980941,521376.19040853,0.0984624412132614,17014.42898,199430.488152857,0.0853150846572615
