"year","r_hh_w_wealth_black","r_hh_w_wealth_black_se","r_hh_w_wealth_nonblack","r_hh_w_wealth_nonblack_se","r_cl_w_wealth_black","r_cl_w_wealth_black_se","r_cl_w_wealth_nonblack","r_cl_w_wealth_nonblack_se"
"ALL",0.958,0.034,0.795,0.012,0.674,0.042,0.634,0.019
"1984",0.859,0.021,0.756,0.019,0.644,0.04,0.585,0.028
"1989",0.847,0.021,0.763,0.012,0.652,0.059,0.629,0.022
"1994",0.841,0.026,0.761,0.011,0.612,0.032,0.604,0.016
"1999",0.858,0.032,0.783,0.018,0.587,0.034,0.623,0.02
"2001",0.904,0.029,0.762,0.01,0.719,0.052,0.622,0.021
"2003",0.958,0.024,0.781,0.012,0.746,0.073,0.619,0.021
"2005",0.947,0.023,0.768,0.01,0.669,0.039,0.613,0.016
"2007",0.914,0.021,0.805,0.02,0.675,0.031,0.631,0.027
"2009",0.994,0.026,0.845,0.018,0.694,0.037,0.69,0.028
"2011",1.122,0.076,0.825,0.009,0.752,0.05,0.644,0.015
"2013",1.141,0.077,0.824,0.01,0.748,0.05,0.659,0.013
"2015",1.053,0.041,0.832,0.009,0.676,0.026,0.664,0.012
"2017",0.987,0.038,0.826,0.012,0.71,0.051,0.659,0.016
"2019",0.985,0.036,0.81,0.009,0.654,0.033,0.651,0.017
"2021",0.971,0.031,0.795,0.009,0.62,0.033,0.635,0.013
"2023",0.944,0.022,0.785,0.008,0.622,0.031,0.614,0.012
