"year","hh_u_black_mean","hh_u_nonblack_mean","hh_u_mean_ratio","hh_u_black_median","hh_u_nonblack_median","hh_u_median_ratio","hh_w_black_mean","hh_w_nonblack_mean","hh_w_mean_ratio","hh_w_black_median","hh_w_nonblack_median","hh_w_median_ratio","r_hh_u_black_mean","r_hh_u_nonblack_mean","r_hh_u_mean_ratio","r_hh_u_black_median","r_hh_u_nonblack_median","r_hh_u_median_ratio","r_hh_w_black_mean","r_hh_w_nonblack_mean","r_hh_w_mean_ratio","r_hh_w_black_median","r_hh_w_nonblack_median","r_hh_w_median_ratio","cl_u_black_mean","cl_u_nonblack_mean","cl_u_mean_ratio","cl_u_black_median","cl_u_nonblack_median","cl_u_median_ratio","cl_w_black_mean","cl_w_nonblack_mean","cl_w_mean_ratio","cl_w_black_median","cl_w_nonblack_median","cl_w_median_ratio","r_cl_u_black_mean","r_cl_u_nonblack_mean","r_cl_u_mean_ratio","r_cl_u_black_median","r_cl_u_nonblack_median","r_cl_u_median_ratio","r_cl_w_black_mean","r_cl_w_nonblack_mean","r_cl_w_mean_ratio","r_cl_w_black_median","r_cl_w_nonblack_median","r_cl_w_median_ratio","neg_r_hh_w_black_mean","neg_r_hh_w_nonblack_mean","neg_r_hh_w_mean_ratio","neg_r_hh_w_black_median","neg_r_hh_w_nonblack_median","neg_r_hh_w_median_ratio","neg_r_cl_w_black_mean","neg_r_cl_w_nonblack_mean","neg_r_cl_w_mean_ratio","neg_r_cl_w_black_median","neg_r_cl_w_nonblack_median","neg_r_cl_w_median_ratio","r_hh_w_unadj_black_mean","r_hh_w_unadj_nonblack_mean","r_hh_w_unadj_mean_ratio","r_hh_w_unadj_black_median","r_hh_w_unadj_nonblack_median","r_hh_w_unadj_median_ratio","r_cl_w_unadj_black_mean","r_cl_w_unadj_nonblack_mean","r_cl_w_unadj_mean_ratio","r_cl_w_unadj_black_median","r_cl_w_unadj_nonblack_median","r_cl_w_unadj_median_ratio"
1984,6886.80214134642,43175.7695219123,0.159506181768255,713.3,12024.2,0.0593220338983051,8100.9486716546,51659.5300183257,0.156814215475458,1222.8,16371.9333333333,0.0746887966804979,6605.09670928553,33880.8927936042,0.194950491698153,659.03825,9633.54108333333,0.0684107997567146,7584.46548864177,41007.6568570659,0.18495242278967,886.53,11973.25,0.0740425531914893,18387.3337249315,118562.085768153,0.155086118853271,6470.65,50758.9375,0.127478042659975,21597.3056266823,129998.473278775,0.166135071297092,9588.79,55739.3,0.172029250457038,17939.4055245787,81615.5421752903,0.219803790386508,7953.295,45856.7323,0.173437892346289,20264.6241656625,87713.2143031215,0.231032739213404,10655.8285714286,49650.775,0.214615553763835,7380.58111797537,40693.68445483,0.181369203031193,886.53,11973.25,0.0740425531914893,19927.3469182674,87143.0229454159,0.228674037745389,9947.9875,49523.4,0.200874485596708,18003.2407744854,91987.9877639391,0.195712953529167,1834.2,30264.3,0.0606060606060606,59212.6153155793,260974.220757025,0.22689066814269,31589,137870.7,0.229120473022912
1989,12991.1951651771,70079.3774132373,0.185378290228976,1574.3,19747.625625,0.0797209765819631,17074.897134975,82881.1459840813,0.206016663165523,2422,25582.375,0.0946745562130177,11043.2240617872,61591.5148346234,0.179297815477325,1412.83333333333,16287.95,0.0867410161090459,13980.3690102158,74473.4276839442,0.187722916011691,1816.5,20708.1,0.0877192982456141,36115.6947170092,181145.436836589,0.199374024252065,13746.36375,84487.4837916667,0.16270296064085,46925.2144024571,188161.02830658,0.24938859457124,17196.2,88396.945,0.194533872183026,27309.3247618117,155422.254657398,0.175710517274443,15061.8125,79804.9,0.188732928679818,33575.1925008085,169323.455561411,0.198290262796056,18376.925,84457.1583333333,0.217588720277213,13641.0889742776,73831.2922701814,0.18476026295678,1816.5,20708.1,0.0877192982456141,33049.2265281124,168041.579547592,0.196672910461142,16954,84003.0333333333,0.201826045170591,30194.8901928547,167236.001355475,0.180552572102419,4238.5,47834.5,0.0886075949367088,102320.776512444,494645.50288103,0.206856781101787,49893.2,247891.7,0.201270151441133
1994,22498.0131323759,107766.564878869,0.20876617119293,3265.13333333333,30677.6333333333,0.106433677521843,28224.7353098121,131127.158015361,0.215247060464055,5080.45,39839.5,0.127522935779817,19719.3253609469,100364.606799808,0.196476885524795,2924,26882.525,0.108769544527532,27264.2160324177,123699.438339752,0.220406950899276,4386,35088,0.125,59012.2413560423,253606.769682018,0.232691901048359,27758.263,126755.4,0.2189907727797,59225.7987033005,264049.151767843,0.224298386519238,30702,132311,0.232044198895028,47283.159051158,238032.958725737,0.198641227266506,28076.4916666667,120922.02,0.232186756941926,55033.959684234,254740.0966189,0.216039643600225,32164,130849,0.245810055865922,26397.4587307164,122583.698190333,0.215342326266985,4386,35088,0.125,52901.4707725684,252701.41149625,0.209343788225549,31251.712,128692.55,0.242840102243681,49874.4113300285,254976.653412324,0.195603835341647,10234,82164.4,0.124555160142349,191451.749964655,855971.148228659,0.223666125150181,111699.724,463620.668,0.240929129587467
1999,28603.5876095513,180669.561745973,0.158319903657977,4929,40007.05,0.123203285420945,34608.1973489094,218027.016245126,0.158733527362498,4929,55533.4,0.0887573964497042,25914.7328743233,175567.229261285,0.147605751844247,4929,40527.3333333333,0.121621621621622,31825.5882747103,215056.115340333,0.147987367038344,4929,55369.1,0.0890207715133532,89877.6855594436,388341.877857236,0.231439591463491,32531.4,152799,0.212903225806452,79517.0240157866,402957.272834428,0.197333636532873,32860,167037.8952,0.196721827467088,70695.0712007333,381789.382885901,0.185167724325799,36063.85,185864.375,0.194033149171271,59772.3885176355,411930.804669815,0.145102982928277,39587.67425,194284.75,0.20376109936575,30564.1792214071,213316.072635084,0.143281182912516,4929,55369.1,0.0890207715133532,56875.2564768401,409305.770395664,0.138955423037062,36556.75,192313.15,0.190089705254165,57941.8662124849,424254.249940313,0.136573449106606,12322.5,121910.6,0.101078167115903,230458.380724007,1497251.78457021,0.153920925724701,148362.9,694331.8,0.213677236157123
2001,37223.4096239275,201754.557358157,0.184498482271446,6303.6,45438.45,0.138728323699422,61780.6590390639,249592.604680176,0.247525999891818,8973.875,68464.1,0.131074168797954,36091.1890865378,190838.129506703,0.189119381854296,5347.84583333333,45088.25,0.118608414239482,62315.9540061836,241535.58558952,0.257999059865601,7879.5,67413.5,0.116883116883117,103664.001080273,486588.224910675,0.213042559957761,44850.4058333333,189108,0.237168209876543,119158.864210774,512815.073935635,0.232362249604484,45526,216686.25,0.21010101010101,93574.0153034858,453750.08104909,0.20622368835095,45249.77975,220520.94,0.205194934095601,123293.235922957,506908.187343421,0.243225970701137,45605.9623333333,255558.45,0.178456092269042,60355.8103377737,239840.93442799,0.251649329509659,7879.5,67413.5,0.116883116883117,118491.949584106,504116.654184637,0.23504867097826,45526,250192.885714286,0.181963607278544,98047.8303278836,477890.540378634,0.20516796639289,17510,152337,0.114942528735632,396192.404355315,1790943.29054629,0.221219960702644,198041.602,896512,0.22090234375
2003,49481.9066564616,222865.739922314,0.222025631547091,6359.5,50058.35,0.127041742286751,127215.838100175,286065.934999214,0.444708098853242,9085,75042.1,0.121065375302663,48449.0259993383,218190.014057198,0.22204969466035,6056.66666666667,49059,0.123456790123457,128557.061807055,285104.953001746,0.45091135896986,8842.73333333333,73891.939,0.119671150236473,119527.136696316,493502.717313838,0.242201577626377,52004.7204,217715.816916667,0.23886514602614,158168.892667334,533294.926329886,0.296588031984189,56872.1,243478,0.233582089552239,118968.224372277,493745.073141696,0.240950706840036,53140.8905,241162.460625,0.220353078013383,153662.885667641,548886.37262153,0.279953909100956,62469.9136,274844.41675,0.227291914235329,126290.008964197,282271.74704469,0.4474057722263,8842.73333333333,73891.939,0.119671150236473,149392.3260331,545032.1246435,0.274098203167045,58325.7,267147.453333333,0.218327740999365,171154.629048452,541304.536342826,0.316189164430083,18170,163530,0.111111111111111,665729.22141022,2018297.39659677,0.32984694056127,231304.1,1003983.35,0.230386390371912
2005,62132.2124497018,282551.170573806,0.219897204189682,6674.5,63884.5,0.104477611940299,144995.98811797,353129.572293059,0.410602791424218,9535,92490.4535,0.10309172070391,61508.7889023527,268384.055328946,0.229181978888292,6307.17547619048,60070.5,0.104996220710506,148827.415333384,343356.419362774,0.433448763269341,9217.16666666667,88166.9666666666,0.104542177361211,140954.008656478,685536.288646672,0.205611301678482,65561.0708333333,297492,0.220379273504274,164395.087180842,714311.420568704,0.23014483941746,70686.1333333333,327336.55,0.215943295465579,135576.754450164,637306.019460822,0.212734150173045,68079.9,312104.3875,0.218131826166654,159785.948510337,696093.124117824,0.229546799090765,80094,352650.306375,0.227120176991509,146551.093057738,340725.056814376,0.430115396935946,9217.16666666667,88166.9666666666,0.104542177361211,156014.173776877,692398.32803849,0.225324307496311,76225.5142857143,348982.733636364,0.21842202189046,198513.183883453,665230.208225161,0.298412762121984,19070,196421,0.0970873786407767,839729.520447326,2570397.0615928,0.32669253050226,307215.793,1268538.307,0.242180934785125
2007,60082.8337175423,376198.507270297,0.159710452211797,6409.84,73139.648,0.0876383763837638,97739.7265435279,481582.415016991,0.202955347819499,9715.968,107887.728,0.0900562851782364,58778.4033436779,358283.531367147,0.164055554324224,6072.48,68821.44,0.088235294117647,98107.2126883365,473656.266598413,0.207127445801358,9715.968,102574.308,0.0947212629501727,172945.869772417,863628.664708338,0.200254897550006,72764.2145142857,374469.6,0.194312741312741,197389.001253807,919547.879464368,0.214658753135057,77247.006,414952.8,0.186158536585366,161299.073455963,798260.933902892,0.202063093163451,74302.86528,390662.88,0.19019689119171,195903.612452357,907876.649488082,0.215782190854693,90075.12,444404.328,0.202687314962423,94604.8610605469,469161.505825502,0.201646682189084,9715.968,102574.308,0.0947212629501727,190020.876244362,902150.084964681,0.210631112728656,85757.92408,438736.68,0.195465590157632,164184.43189041,864274.35919814,0.189967954206969,20241.6,214560.96,0.0943396226415094,837050.327895956,3421575.1915973,0.244638881516205,377505.84,1677947.6736,0.224980698706813
2009,63794.7197959412,378279.505370765,0.168644398890745,3519.05,54422.10825,0.0646621403168445,118233.0527545,502241.893805364,0.235410574491659,5595.2895,84457.2,0.06625,56635.3857100565,363354.10790693,0.15586829618165,3167.145,52363.464,0.060483870967742,88625.4199129361,493314.777776023,0.179652878659909,5278.575,80762.1975,0.065359477124183,190887.282757103,854245.670271452,0.223457126445189,62762.25675,308057.637,0.203735435229609,306533.223817642,917439.724644945,0.334118106708615,72337.5918,343354.41231,0.210679080292958,128726.13636253,780930.019976157,0.164836967551151,66656.789385,319881.645,0.208379537953795,144237.614806407,862170.561732022,0.1672959170824,78160.6141071428,356303.8125,0.219365079365079,82887.3590605706,486433.11644094,0.170398264959895,5278.575,80762.1975,0.065359477124183,133644.135705756,851183.720928429,0.157009741163733,68329.7960271428,348359.557125,0.196147327178466,145768.623688444,909868.296542982,0.16020848758253,9501.435,184750.125,0.0514285714285714,737210.406442828,3423882.61887729,0.215314158954597,289477.053,1377919.218,0.21008274593932
2011,52630.4210187928,348898.003510401,0.150847584363502,3523.568,47898.5025,0.0735632183908046,80569.1778908176,447603.970378295,0.180001034894137,5505.575,79996.00475,0.0688231245698555,49885.695851485,329942.239394581,0.151195239333471,3303.345,45145.715,0.0731707317073171,68552.7845745005,427850.405404679,0.160226059642647,4955.0175,77078.05,0.0642857142857143,134856.772349376,781490.498429261,0.172563546991843,58201.7928571428,317657.607697222,0.183221781713531,177453.338204073,837701.084612246,0.211833721435627,66066.9,353733.19375,0.186770428015564,117646.120368223,671176.154119959,0.175283522285562,60429.1912,337601.859,0.178995433789954,122966.381890338,736932.86778471,0.166862393124066,67535.0533333333,372910.946666667,0.181102362204724,59067.4474073614,420018.404045734,0.14063061722631,4955.0175,77078.05,0.0642857142857143,107563.352867307,721907.404182723,0.148998822070651,58276.511375,362432.00225,0.16079295154185,104532.143771933,765628.239949223,0.136531201851783,9910.035,161863.905,0.0612244897959184,524777.426476311,3054691.11610182,0.171793941361245,271755.182,1411133.92825,0.192579298505716
