year,C1_all_hh,C2_all_hh,C3_all_hh,C1_ex_top_10_hh,C2_ex_top_10_hh,C3_ex_top_10_hh,C1_ex_bottom_10_hh,C2_ex_bottom_10_hh,C3_ex_bottom_10_hh,C1_all_clan,C2_all_clan,C3_all_clan,C1_ex_top_10_clan,C2_ex_top_10_clan,C3_ex_top_10_clan,C1_ex_bottom_10_clan,C2_ex_bottom_10_clan,C3_ex_bottom_10_clan
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0,0,0.5,0,0
2009,0.03853774407168995,0.8501642076370604,0.010217441458847173,-0.11004673064142971,0.7803133606983494,-0.015145628716392785,0.11175672032687553,0.8111562033781865,0.02668402314390039,0.17152791031917064,0.7159272649598942,0.05009549819183087,0.2626436475389243,0.5515648880649373,0.08347260789302954,0.21063239781318005,0.689151962731197,0.06121532482874898
2011,0.029455710282812398,0.834276983956159,0.006891198882975321,-0.19838034121163967,0.833025730701724,-0.039654390035991804,0.12441077255607769,0.7841047519319394,0.02878012084738824,0.18024595536802732,0.6885914110501095,0.05280989128581585,0.23765885493940797,0.5645221357657311,0.07703293470342434,0.23228049684732802,0.6546227984006816,0.06711426011266546
2013,0.03358209538966756,0.8357672375157015,0.007479427793335087,-0.19576303312615512,0.8338881866217364,-0.03948263368587994,0.12166830643089759,0.7884135202481848,0.027859011576152313,0.18744994447781974,0.6896985709702388,0.052819561447510766,0.2568494841464443,0.5644367658994833,0.07856903976950812,0.22429580979462052,0.6621778842251809,0.06384494008325324
2015,0.034236492469542745,0.838242682056232,0.008358947311320504,-0.19351249410452415,0.8188230770850999,-0.034477180493105455,0.1193352472555169,0.7940283604500544,0.027421591537700126,0.171959306440782,0.7014078019985001,0.04938926339479547,0.2293550089455001,0.5752957968650365,0.07486929335297889,0.21713210552540832,0.672652487851223,0.06121957007626187
2017,0.028645130526264342,0.8312588267645133,0.009294692092303986,-0.2176080513465501,0.8085119393701474,-0.031343138253213346,0.1264942847025153,0.785293060678803,0.029631906318735343,0.19623075533201345,0.6790909647770411,0.05668169192121868,0.27150778769317124,0.5471353750409229,0.08594633538442588,0.23505250171246128,0.6527343762574527,0.067508639288613
2019,0.045790426457196054,0.8208291022625092,0.012914140087472693,-0.1337522102903567,0.7767225261810444,-0.015012098227018548,0.13107346626824792,0.7789902507065629,0.031035320633115634,0.18845110322372147,0.68686566034348,0.054303318726423314,0.2568180277724644,0.5618237903657368,0.08210915954596035,0.23101931894433098,0.6577096939208984,0.06605985853373189
2021,0.07622788481244061,0.8049097917808999,0.019384206956697438,0.011724692707075678,0.7166398881901889,0.01336110131116761,0.13952492121360208,0.769715835768564,0.03409241740941882,0.20558464767426518,0.6787265244173826,0.058250177461368104,0.29599663213603783,0.5435325022139249,0.09043485992917066,0.23706626296116223,0.6530510591452272,0.0682827565491757
ALL,0.040925069144230525,0.8307784045675822,0.010648579226136028,-0.14819116685908282,0.7954178155497558,-0.023107709728633467,0.12489481696481901,0.7873859975946136,0.029357770209487266,0.35342997485572,0.32268721323444305,0.024956626828597537,0.3873886295447967,0.2605540836143848,0.03816228203856652,0.3724985929065661,0.3094733508354574,0.03034968996483001
ALL,0.040925069144230525,0.8307784045675822,0.010648579226136028,-0.14819116685908282,0.7954178155497558,-0.023107709728633467,0.12489481696481901,0.7873859975946136,0.029357770209487266,0.35342997485572,0.32268721323444305,0.024956626828597537,0.3873886295447967,0.2605540836143848,0.03816228203856652,0.3724985929065661,0.3094733508354574,0.03034968996483001
