year,C1_HH,C1_Clan,C2_HH,C2_Clan,C3_HH,C3_Clan
1984,NA,0.5,NA,0,NA,0
1989,NA,0.5,NA,0,NA,0
1994,NA,0.5,NA,0,NA,0
1999,NA,0.5,NA,0,NA,0
2001,NA,0.5,NA,0,NA,0
2003,NA,0.5,NA,0,NA,0
2005,NA,0.5,NA,0,NA,0
2007,NA,0.5,NA,0,NA,0
2009,0.03853774407168995,0.17152791031917064,0.8501642076370604,0.7159272649598942,0.010217441458847173,0.05009549819183087
2011,0.029455710282812398,0.18024595536802732,0.834276983956159,0.6885914110501095,0.006891198882975321,0.05280989128581585
2013,0.03358209538966756,0.18744994447781974,0.8357672375157015,0.6896985709702388,0.007479427793335087,0.052819561447510766
2015,0.034236492469542745,0.171959306440782,0.838242682056232,0.7014078019985001,0.008358947311320504,0.04938926339479547
2017,0.028645130526264342,0.19623075533201345,0.8312588267645133,0.6790909647770411,0.009294692092303986,0.05668169192121868
2019,0.045790426457196054,0.18845110322372147,0.8208291022625092,0.68686566034348,0.012914140087472693,0.054303318726423314
2021,0.07622788481244061,0.20558464767426518,0.8049097917808999,0.6787265244173826,0.019384206956697438,0.058250177461368104
ALL,0.040925069144230525,0.35342997485572,0.8307784045675822,0.32268721323444305,0.010648579226136028,0.024956626828597537
