year,C1_hh,C2_hh,C3_hh,C1_clan,C2_clan,C3_clan
1984,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
1989,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
1994,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
1999,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
2001,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
2003,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
2005,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
2007,NA,NA,NA,0.5,2.220446049250313e-16,7.395570986446986e-32
2009,0.9614622559283086,0.8501642076370597,0.7905725029976156,0.82847208968083,0.7159272649598935,0.6490345871757206
2011,0.970544289717187,0.8342769839561577,0.7617523032053298,0.8197540446319732,0.6885914110501098,0.6121024042411602
2013,0.96641790461033406,0.8357672375157019,0.7648700274883494,0.8125500555221797,0.6896985709702393,0.6137776613789184
2015,0.9657635075304548,0.8382426820562308,0.7699024758858775,0.8280406935592185,0.7014078019985001,0.6261960835785083
2017,0.9713548694737388,0.8312588267645117,0.7608303103039864,0.8037692446679863,0.6790909647770415,0.6036594919571223
2019,0.9542095735428034,0.8208291022625104,0.7506148975754998,0.8115488967762782,0.6868656603434806,0.6117539794092676
2021,0.923772115187559,0.8049097917808992,0.7364410351521775,0.7944153523257347,0.6787265244173823,0.6054655997901874
ALL,0.9590749308557693,0.8307784045675816,0.762140507515548,0.6465700251442801,0.3226872132344432,0.2881326538353923
