year,C1_hh,C2_hh,C3_hh,C1_clan,C2_clan,C3_clan
1969,0.542,0.409,0.338,0.412,0.288,0.228
1970,0.522,0.386,0.316,0.385,0.267,0.212
1971,0.528,0.389,0.316,0.375,0.26,0.206
1972,0.524,0.39,0.32,0.376,0.262,0.208
1973,0.523,0.391,0.322,0.37,0.256,0.203
1974,0.514,0.381,0.312,0.372,0.258,0.205
1975,0.522,0.39,0.321,0.382,0.267,0.213
1976,0.531,0.401,0.332,0.378,0.262,0.208
1977,0.525,0.391,0.321,0.389,0.27,0.215
1978,0.528,0.394,0.325,0.381,0.263,0.208
1979,0.528,0.395,0.325,0.382,0.264,0.209
1980,0.532,0.4,0.332,0.379,0.264,0.21
1981,0.551,0.422,0.354,0.397,0.281,0.226
1982,0.556,0.422,0.352,0.396,0.277,0.222
1983,0.559,0.422,0.35,0.404,0.282,0.225
1984,0.561,0.422,0.348,0.414,0.291,0.232
1985,0.563,0.426,0.354,0.411,0.289,0.232
1986,0.568,0.431,0.359,0.421,0.3,0.243
1987,0.569,0.433,0.361,0.43,0.308,0.25
1988,0.571,0.437,0.367,0.442,0.323,0.266
1989,0.571,0.438,0.367,0.446,0.327,0.27
1990,0.573,0.439,0.368,0.446,0.325,0.267
1991,0.566,0.431,0.359,0.438,0.316,0.258
1992,0.576,0.442,0.372,0.438,0.319,0.261
1993,0.581,0.445,0.374,0.441,0.321,0.263
1994,0.606,0.473,0.403,0.471,0.351,0.292
1995,0.597,0.465,0.395,0.46,0.342,0.284
1996,0.584,0.45,0.379,0.452,0.335,0.278
1997,0.572,0.438,0.368,0.439,0.326,0.27
1999,0.584,0.454,0.385,0.457,0.343,0.287
2001,0.583,0.457,0.39,0.467,0.356,0.301
2003,0.573,0.443,0.374,0.447,0.336,0.282
2005,0.609,0.486,0.421,0.461,0.349,0.294
2007,0.6,0.469,0.4,0.466,0.351,0.294
2009,0.59,0.459,0.39,0.471,0.358,0.302
2011,0.595,0.462,0.391,0.463,0.346,0.287
2013,0.601,0.47,0.398,0.476,0.36,0.301
2015,0.596,0.461,0.388,0.466,0.344,0.282
2017,0.592,0.46,0.389,0.464,0.347,0.288
2019,0.605,0.471,0.398,0.457,0.337,0.277
2021,0.617,0.483,0.411,0.463,0.34,0.279
2023,0.615,0.478,0.405,0.476,0.356,0.295
ALL,0.567,0.433,0.363,0.428,0.31,0.253
