year,C1_hh,C2_hh,C3_hh,C1_clan,C2_clan,C3_clan
1984,0.9,0.774,0.705,0.747,0.609,0.536
1989,0.908,0.782,0.713,0.779,0.653,0.583
1994,0.904,0.778,0.707,0.752,0.625,0.552
1999,0.91,0.799,0.734,0.764,0.647,0.578
2001,0.897,0.781,0.711,0.76,0.644,0.575
2003,0.923,0.806,0.741,0.763,0.643,0.572
2005,0.908,0.795,0.728,0.754,0.634,0.561
2007,0.938,0.822,0.758,0.771,0.65,0.579
2009,0.978,0.862,0.803,0.823,0.708,0.641
2011,0.992,0.85,0.779,0.813,0.671,0.591
2013,0.986,0.851,0.78,0.811,0.685,0.609
2015,0.983,0.855,0.789,0.814,0.687,0.612
2017,1.004,0.848,0.777,0.805,0.682,0.61
2019,0.962,0.833,0.765,0.802,0.672,0.596
2021,0.937,0.818,0.752,0.777,0.657,0.582
2023,0.922,0.809,0.743,0.76,0.636,0.56
ALL,0.941,0.816,0.749,0.781,0.656,0.584
