year,C1_hh,C2_hh,C3_hh,C1_clan,C2_clan,C3_clan
1984,0.798,0.831,-0.831,0.616,0.71,-0.711
1989,0.794,0.827,-0.827,0.642,0.728,-0.729
1994,0.791,0.823,-0.823,0.596,0.694,-0.695
1999,0.814,0.843,-0.843,0.623,0.713,-0.714
2001,0.801,0.83,-0.83,0.619,0.711,-0.712
2003,0.827,0.852,-0.852,0.618,0.71,-0.711
2005,0.823,0.847,-0.848,0.615,0.705,-0.706
2007,0.847,0.867,-0.867,0.64,0.722,-0.723
2009,0.868,0.885,-0.885,0.701,0.766,-0.767
2011,0.838,0.857,-0.858,0.635,0.712,-0.713
2013,0.839,0.859,-0.859,0.655,0.728,-0.729
2015,0.853,0.87,-0.87,0.667,0.736,-0.737
2017,0.842,0.861,-0.862,0.67,0.74,-0.741
2019,0.843,0.862,-0.862,0.664,0.734,-0.735
2021,0.84,0.86,-0.86,0.665,0.734,-0.735
2023,0.846,0.864,-0.864,0.664,0.731,-0.732
ALL,0.829,0.852,-0.853,0.643,0.723,-0.724
