"year","m1_hh","m1_clan","m2_hh","m2_clan","current_hh","current_clan"
1969,0.413,0.296,0.375,0.311,0.388,0.297
1970,0.388,0.271,0.349,0.283,0.372,0.289
1971,0.39,0.263,0.355,0.272,0.375,0.276
1972,0.391,0.263,0.354,0.269,0.371,0.281
1973,0.392,0.258,0.353,0.268,0.368,0.28
1974,0.382,0.26,0.354,0.271,0.375,0.289
1975,0.391,0.268,0.357,0.28,0.375,0.301
1976,0.401,0.264,0.363,0.281,0.375,0.305
1977,0.391,0.271,0.361,0.283,0.381,0.313
1978,0.395,0.264,0.359,0.279,0.375,0.31
1979,0.395,0.265,0.362,0.281,0.378,0.316
1980,0.401,0.265,0.369,0.283,0.386,0.32
1981,0.422,0.282,0.394,0.298,0.41,0.333
1982,0.423,0.278,0.387,0.296,0.399,0.332
1983,0.423,0.283,0.387,0.3,0.399,0.338
1984,0.422,0.292,0.391,0.308,0.406,0.35
1985,0.427,0.29,0.394,0.307,0.408,0.354
1986,0.432,0.301,0.402,0.317,0.417,0.359
1987,0.433,0.309,0.406,0.323,0.422,0.364
1988,0.438,0.324,0.414,0.333,0.433,0.373
1989,0.438,0.327,0.417,0.338,0.437,0.381
1990,0.439,0.326,0.419,0.334,0.439,0.383
1991,0.431,0.317,0.41,0.326,0.433,0.379
1992,0.443,0.32,0.421,0.33,0.441,0.385
1993,0.446,0.322,0.426,0.326,0.448,0.387
1994,0.473,0.351,0.453,0.355,0.473,0.409
1995,0.465,0.343,0.448,0.342,0.469,0.405
1996,0.45,0.336,0.433,0.339,0.457,0.399
1997,0.438,0.326,0.423,0.329,0.449,0.392
1999,0.454,0.344,0.437,0.348,0.461,0.405
2001,0.457,0.357,0.447,0.355,0.476,0.42
2003,0.443,0.337,0.432,0.331,0.461,0.403
2005,0.487,0.35,0.47,0.353,0.49,0.419
2007,0.469,0.351,0.459,0.353,0.483,0.417
2009,0.459,0.359,0.452,0.364,0.48,0.433
2011,0.462,0.346,0.451,0.363,0.476,0.439
2013,0.47,0.361,0.46,0.372,0.485,0.443
2015,0.461,0.345,0.452,0.357,0.479,0.436
2017,0.46,0.348,0.453,0.36,0.482,0.44
2019,0.471,0.337,0.463,0.362,0.489,0.45
2021,0.483,0.341,0.477,0.37,0.505,0.46
2023,0.479,0.357,0.48,0.376,0.516,0.465
