"year","m1_hh","m1_clan","m2_hh","m2_clan","current_hh","current_clan"
1984,0.831,0.711,0.832,0.721,0.768,0.631
1989,0.827,0.729,0.83,0.723,0.783,0.649
1994,0.823,0.695,0.821,0.688,0.77,0.624
1999,0.843,0.714,0.839,0.721,0.788,0.664
2001,0.83,0.712,0.825,0.698,0.771,0.638
2003,0.852,0.711,0.844,0.702,0.784,0.646
2005,0.848,0.706,0.841,0.697,0.779,0.639
2007,0.867,0.723,0.858,0.718,0.8,0.652
2009,0.885,0.766,0.883,0.764,0.85,0.717
2011,0.858,0.713,0.853,0.716,0.835,0.689
2013,0.859,0.729,0.855,0.726,0.836,0.691
2015,0.87,0.737,0.865,0.74,0.838,0.702
2017,0.862,0.741,0.859,0.738,0.831,0.68
2019,0.862,0.735,0.858,0.739,0.821,0.688
2021,0.86,0.735,0.856,0.739,0.805,0.68
2023,0.864,0.732,0.859,0.735,0.794,0.665
