"Unit","fm","weighted.mean","sm","weighted.sd","wtd.sd","tm","w.skew.SAS","w.skew.Stata"
"Household",3185.14306030902,3185.14306030902,15794599.6936864,2381.49725538814,2377.05745408029,110404211997.558,2.40794041970022,1.79531456554793
"Household",3435.56733756009,3435.56733756009,17792961.9702249,2449.40817711529,2447.50002891392,127390044670.164,2.43238579273026,1.71246826899236
"Household",3825.07992030135,3825.07992030135,22980615.0012437,2891.15616752935,2889.60074271748,232234030949.44,4.57551997938083,3.33490918689797
"Household",4265.86397140504,4265.86397140504,28260371.9186912,3173.56397698048,3172.25018294621,297312978301.157,3.96205541698876,2.84781654017699
"Household",4715.85677283552,4715.85677283552,34079109.2509491,3442.11050050275,3440.95702240003,373688728244.982,3.1778926503704,2.48669316612035
"Household",5628.25462021268,5628.25462021268,48985576.3390108,4161.55212678141,4160.37660034943,641423865992.852,3.10262718133738,2.37318773907734
"Household",6953.16579970199,6953.16579970199,76188213.8640146,5277.89041183759,5276.57877286849,1297984609756.62,3.35284317723625,2.59387534783139
"Household",7805.4525666003,7805.4525666003,94975672.2144312,5836.67304533341,5835.3446266196,1734848330377.43,3.19339917130095,2.32497014200642
"Household",9176.28007297811,9176.28007297811,133675311.041239,7035.11468172066,7033.64010794745,2970652307400.58,3.22983181242654,2.40282939740833
"Household",10582.5513464613,10582.5513464613,171398212.882984,7709.23179969112,7707.71309545478,3969056982044.18,2.75575579695287,1.96083157546219
"Household",12856.2122419642,12856.2122419642,252767262.061543,9355.12963396318,9353.41419083991,6895213619464.64,2.43055446073091,1.70618142206053
"Household",16429.352795459,16429.352795459,444360084.429999,13209.7813245096,13207.5309978481,21203318130692.3,5.32851209383341,3.54666416178145
"Household",20386.4134074866,20386.4134074866,1169611525.58911,27463.8902841567,27459.3494244267,517671002946845,31.1816578179081,22.3664850394657
"Household",23323.8907037666,23323.8907037666,958095354.149981,20352.6050129098,20349.3695724699,80030125670477.9,6.59585262808875,4.55318483083329
"Household",25075.4608394448,25075.4608394448,1091389673.97968,21511.8129264937,21508.5281011352,100451434125949,7.80755474477694,5.01345551739408
"Household",27650.3952453207,27650.3952453207,1373748159.19998,24685.8220430799,24682.1936516818,163644709195165,9.36912726329569,6.11652855202034
"Household",31050.730017844,31050.730017844,1988430834.35339,32009.1282048762,32004.5967469457,537098871383553,19.7877411089863,12.5603192634196
"Household",34121.8300417747,34121.8300417747,2311853701.38256,33880.497896849,33875.7563420379,441886120845407,11.2610400629288,7.32334382310251
"Household",36963.2116320476,36963.2116320476,2785774333.3891,37681.5580782564,37676.3914278189,590894357085841,11.2630242278202,7.16111740220351
"Household",41036.4558317452,41036.4558317452,4434760457.92222,52455.0863212971,52448.0542536605,2512413573525788,23.8685163801267,14.5881833964572
"Household",45285.6647808418,45285.6647808418,5536539903.80014,59048.3681281706,59040.4956357529,3497325196496659,22.836784947268,14.2414928223084
"Household",49630.4576747129,49630.4576747129,5772931515.57071,57538.0984452111,57530.6715755056,2279384746500052,13.4149283383926,8.74077920709062
"Household",52669.9048683858,52669.9048683858,5505907404.26251,52273.3916514764,52266.7397377397,1278104087639573,6.42276572782985,4.90500885835726
"Household",56222.678549623,56222.678549623,7230098079.31981,63797.7037025863,63789.8298677538,3071440938279223,11.8232301065855,8.50414734122696
"Household",60919.3850303385,60919.3850303385,7674503388.03748,62962.8218453222,62955.2556426455,2259236397526740,6.84971280567254,5.24554012225197
"Household",65467.8492379227,65467.8492379227,11491759175.4577,84896.1631164439,84886.8345487014,6408893667728496,10.3460781483793,7.70526438267313
"Household",70578.9665055455,70578.9665055455,13215345573.6994,90751.5092778281,90741.4922965014,8163984896414428,11.3160454169664,8.12273624476014
"Household",73844.7792519771,73844.7792519771,13335171838.5436,88791.4339585282,88781.651386579,8329244357528246,11.117962407591,8.83186277906438
"Household",80607.0392624339,80607.0392624339,13905372979.0094,86081.0885057929,86069.3612783705,5503324518381507,5.83840238782789,5.00039963097983
"Household",95435.2569889129,95435.2569889129,23456516105.3498,119801.783935205,119786.209471389,20426735087090384,11.0466179642222,8.98869832824495
"Household",112887.218841286,112887.218841286,35813504013.2738,151907.226585496,151888.603634588,37894256923228816,9.74000268497566,8.17417660228239
"Household",112750.394173615,112750.394173615,32379065295.3635,140253.75941787,140237.470488839,37827686760956984,11.7638350585748,10.7841144371764
"Household",129404.739623561,129404.739623561,80500115410.2106,252525.326422837,252497.430777386,448105120008686336,39.4930930042989,26.1643029084826
"Household",143420.462766913,143420.462766913,57055470579.7178,191034.256954476,191013.797502259,98816633092319472,13.1993198057367,11.5029979768633
"Household",155409.351169117,155409.351169117,83549162828.7725,243740.927233245,243715.936122801,404503016677367488,28.1656279719395,25.7707662836685
"Household",152896.745902635,152896.745902635,62282838762.1234,197265.280916463,197245.13376557,98318076273948560,11.9717526119777,10.0207675919254
"Household",170615.07955886,170615.07955886,97402139918.157,261356.073095342,261329.345328604,317797718020359168,19.9064104129689,15.5700547853298
"Household",175487.920455734,175487.920455734,71585871072.748,201986.976859805,201965.527968977,79466512282522640,8.48054265767607,6.3834678376256
"Household",191661.354272518,191661.354272518,92895380838.6707,237009.516495193,236984.399823383,145457578167257696,10.3607627057908,7.97375345192986
"Household",210778.785203244,210778.785203244,107170386852.106,250512.629236893,250485.517598667,135998425028989264,7.08840361341794,5.53315008782258
"Household",233727.212621865,233727.212621865,174342039431.755,346036.290819322,345997.461956068,633114645578685312,19.2392041545504,12.9502402595797
"Clan",6408.94031875408,6408.94031875408,52717338.2115343,3425.35472132933,3412.73997941727,528746423485.099,1.43651287154431,1.04834716337324
"Clan",7097.11877476987,7097.11877476987,65198351.5652317,3857.29024661919,3851.16289961584,757405671999.604,1.99837287990333,1.47437664227878
"Clan",8224.66043482103,8224.66043482103,86635442.554088,4362.9674250556,4358.03565329874,1186989078430.93,2.3964204966294,1.958312104854
"Clan",9553.7021568642,9553.7021568642,117503024.03606,5126.33167547442,5121.73258224004,1849125564244.43,2.09938840444065,1.67753450286175
"Clan",11031.9029293841,11031.9029293841,156164144.557184,5875.01112891388,5870.59518309611,2796130721438.26,1.87857529803267,1.54718633294988
"Clan",13793.1214858589,13793.1214858589,245974059.587038,7469.97768117994,7465.05652464502,5487937556701.06,1.76246459245315,1.34138482382611
"Clan",17364.3852546934,17364.3852546934,398852880.440338,9871.76555281317,9865.90684968494,11681270137188.2,1.78813923736562,1.43220273795856
"Clan",20069.8390330841,20069.8390330841,537240900.249592,11601.7223682837,11595.2241131837,18468240770152.7,1.91549932970786,1.46866176103338
"Clan",24302.4889616698,24302.4889616698,797466531.254281,14390.4516824614,14382.8194911087,33937769124410.8,1.85085440813585,1.5136114700079
"Clan",28837.1360105617,28837.1360105617,1111092007.18168,16727.5311443334,16718.9889489959,54245829690809.3,1.63894826963751,1.30204048653903
"Clan",36085.7051837025,36085.7051837025,1743028297.01145,21007.1260749032,20996.8615749106,104791932611961,1.34833427677794,1.08863896854065
"Clan",47068.0774384178,47068.0774384178,3029378323.62236,28544.032249531,28530.7986028094,253592742958289,1.87706849731376,1.48049270451707
"Clan",58853.7073126726,58853.7073126726,5631051742.66609,46576.3564082172,46555.0979660778,1484223968133203,9.73340345232511,8.89732177018463
"Clan",69373.3393183316,69373.3393183316,6846273391.15115,45116.5925007684,45096.4547944627,930283821525728,2.40393930722374,1.88838240595796
"Clan",75493.5856098191,75493.5856098191,8199205807.01268,50021.8741054272,50000.1789582873,1257681848212308,2.73110013065986,2.08999806645088
"Clan",85336.5085299621,85336.5085299621,10745010032.6547,58870.6318325339,58845.6276239981,1971679386070495,2.99627781397893,2.27595347602332
"Clan",97544.3802200273,97544.3802200273,14706371999.041,72083.072005263,72053.0349187339,3908672918605200,5.09708443619635,3.90678876457932
