"Unit","fm","weighted.mean","sm","weighted.sd","wtd.sd","tm","w.skew.SAS","w.skew.Stata"
"Household",55903.9651581855,55903.9651581855,115430541733.609,335170.969124989,335121.704755377,870413114697541120,31.0412684984437,22.6222138508172
"Household",99853.4426319385,99853.4426319385,276609387235.171,516441.876292381,516373.022827262,2887444266819729408,30.0682593012865,20.3841132189343
"Household",159201.186205561,159201.186205561,421015182438.246,629094.965632437,629025.581231947,3473337226325096960,20.169105041024,13.1800609908084
"Household",281038.57439314,281038.57439314,2315656837068.8,1495751.54257899,1495557.09198308,70043557035388461056,28.7874907128177,20.3690093469903
"Household",308830.51411542,308830.51411542,2227720782871.38,1460439.30311792,1460260.26167232,87094018209040269312,30.685015382325,27.3266995177089
"Household",346698.450975449,346698.450975449,2765173383589.79,1626531.92391443,1626343.02015039,81594740662170583040,23.3334842583517,18.3191564554305
"Household",404449.171578975,404449.171578975,3229169512101.84,1751081.99832873,1750888.56203752,1.04019476249544e+20,23.5535508038656,18.6742226889441
"Household",528809.341516075,528809.341516075,8617442386796.76,2887843.78332797,2887534.50004634,5.6715358805194e+20,36.2255559342122,23.0016267998758
"Household",591819.969357456,591819.969357456,30070554943593,5452208.75123529,5451649.72837189,5.48943087631886e+21,53.5155112526841,33.5533614625171
"Household",466804.646687272,466804.646687272,4493293813156.86,2067917.97308161,2067706.77192527,1.84644345218087e+20,25.538196981394,20.1980570389742
"Household",512706.751970872,512706.751970872,5099336857528.77,2199428.51344788,2199203.58730952,1.86881776763893e+20,25.0734771703129,16.8580344579197
"Household",587190.084689627,587190.084689627,8284565312714.25,2818066.92976333,2817767.68071834,5.89973233632803e+20,34.4079970101543,25.7363933317061
"Household",633018.30423453,633018.30423453,7405914738939.48,2647021.89512229,2646741.38157503,3.40095110322736e+20,22.6905303248368,17.6117669990344
"Household",676972.454170429,676972.454170429,9046744950953.9,2930930.59122549,2930613.39232778,6.20739411123836e+20,31.7751537322506,23.9571589741382
"Household",902729.528879591,902729.528879591,14979543103331.4,3764023.71893475,3763601.35640764,1.0441689005866e+21,25.6340914074406,18.8534139760737
"Clan",159643.814930015,159643.814930015,361099594470.576,579577.537764968,579331.372959768,2690747558233379840,16.8023756076002,12.9916562152943
"Clan",293929.409420277,293929.409420277,818896852262.327,856222.892346252,855875.789085864,7798999516396070912,13.574864244198,11.3693461614566
"Clan",541569.725074384,541569.725074384,1706233265656.07,1189128.8410376,1188686.09141897,13476017779698882560,8.29277398662405,6.56235700237514
"Clan",1005104.56103801,1005104.56103801,9635906620445.45,2938311.00172962,2936991.04007972,2.85022764241752e+20,13.0402664335275,10.1842117762056
"Clan",1171053.97267343,1171053.97267343,11368740478333.2,3163294.41361927,3161907.61970264,4.80155957036886e+20,15.7143171089842,14.0279398079423
"Clan",1288732.4256717,1288732.4256717,13018088445075.2,3371548.39438479,3370099.86989995,4.16866172139388e+20,11.1638810245257,9.68832619384151
"Clan",1574270.62887676,1574270.62887676,16756961975362.5,3780356.29209017,3778759.92792893,5.6477367880695e+20,10.4339631929407,9.14537589012409
"Clan",2143031.59776668,2143031.59776668,44985771914077.2,6358343.56679822,6355649.00155933,3.3771160993566e+21,16.6966157643674,12.1048794055038
"Clan",2255262.19528427,2255262.19528427,102821820455554,9890361.48899155,9886263.67633788,1.71665211857584e+22,20.9675943648457,17.0703040427113
"Clan",1926035.95045844,1926035.95045844,27428548383195.7,4872323.52129877,4870270.01265069,1.24255398983147e+21,11.0572109902005,9.50826768841127
"Clan",2079103.83471997,2079103.83471997,29437257683016.4,5013633.85991036,5011510.55715377,1.18020574229625e+21,9.53080363111924,8.06108356254392
"Clan",2402319.18963752,2402319.18963752,49289811530202.8,6599824.29411313,6596946.51104296,3.5035256272602e+21,13.6813849077431,11.0629342564253
"Clan",2768546.19795865,2768546.19795865,50885440005398.6,6577247.59195908,6574318.67489752,2.70204324998015e+21,9.53834536167569,8.17142401602021
"Clan",2829425.38654227,2829425.38654227,60854099938480.6,7273009.24382468,7269774.09731661,4.38916275638218e+21,11.3632376617967,10.1978133996249
"Clan",3769264.15784864,3769264.15784864,99955361134906.9,9264353.50674328,9260129.1669534,7.76703570631274e+21,9.80155472341924,8.49322680115266
