"year","hh_w_inc","r_hh_w_inc","cl_w_inc","r_cl_w_inc","all_hh_diff","robust_hh_diff","diff_samples"
"1969",0.376,0.388,0.38,0.297,-0.004,0.091,-0.095
"1970",0.379,0.372,0.384,0.289,-0.005,0.083,-0.088
"1971",0.384,0.375,0.391,0.276,-0.00700000000000001,0.099,-0.106
"1972",0.384,0.371,0.399,0.281,-0.015,0.09,-0.105
"1973",0.385,0.368,0.406,0.28,-0.021,0.088,-0.109
"1974",0.389,0.375,0.417,0.289,-0.028,0.086,-0.114
"1975",0.392,0.375,0.43,0.301,-0.038,0.074,-0.112
"1976",0.394,0.375,0.434,0.305,-0.04,0.07,-0.11
"1977",0.399,0.381,0.446,0.313,-0.047,0.068,-0.115
"1978",0.397,0.375,0.447,0.31,-0.05,0.065,-0.115
"1979",0.402,0.378,0.462,0.316,-0.06,0.062,-0.122
"1980",0.405,0.386,0.467,0.32,-0.062,0.066,-0.128
"1981",0.426,0.41,0.481,0.333,-0.055,0.077,-0.132
"1982",0.415,0.399,0.474,0.332,-0.059,0.067,-0.126
"1983",0.421,0.399,0.478,0.338,-0.057,0.061,-0.118
"1984",0.42,0.406,0.48,0.35,-0.06,0.056,-0.116
"1985",0.43,0.408,0.485,0.354,-0.055,0.054,-0.109
"1986",0.434,0.417,0.487,0.359,-0.053,0.058,-0.111
"1987",0.433,0.422,0.49,0.364,-0.057,0.058,-0.115
"1988",0.443,0.433,0.498,0.373,-0.055,0.06,-0.115
"1989",0.449,0.437,0.508,0.381,-0.059,0.056,-0.115
"1990",0.449,0.439,0.507,0.383,-0.058,0.056,-0.114
"1991",0.444,0.433,0.503,0.379,-0.059,0.054,-0.113
"1992",0.45,0.441,0.505,0.385,-0.055,0.056,-0.111
"1993",0.458,0.448,0.512,0.387,-0.054,0.061,-0.115
"1994",0.483,0.473,0.528,0.409,-0.045,0.064,-0.109
"1995",0.477,0.469,0.521,0.405,-0.044,0.064,-0.108
"1996",0.465,0.457,0.517,0.399,-0.052,0.058,-0.11
"1997",0.457,0.449,0.545,0.392,-0.088,0.057,-0.145
"1999",0.466,0.461,0.543,0.405,-0.077,0.056,-0.133
"2001",0.482,0.476,0.546,0.42,-0.0640000000000001,0.056,-0.12
"2003",0.471,0.461,0.534,0.403,-0.063,0.058,-0.121
"2005",0.493,0.49,0.533,0.419,-0.04,0.071,-0.111
"2007",0.484,0.483,0.524,0.417,-0.04,0.066,-0.106
"2009",0.482,0.48,0.524,0.433,-0.042,0.047,-0.089
"2011",0.479,0.476,0.523,0.439,-0.044,0.037,-0.081
"2013",0.489,0.485,0.532,0.443,-0.043,0.042,-0.085
"2015",0.484,0.479,0.52,0.436,-0.036,0.043,-0.079
"2017",0.484,0.482,0.526,0.44,-0.042,0.042,-0.084
"2019",0.486,0.489,0.568,0.45,-0.082,0.039,-0.121
"2021",0.503,0.505,0.573,0.46,-0.07,0.045,-0.115
