"year","r_hh_w_wealth_nohouse","r_cl_w_wealth_nohouse","r_hh_w_wealth_withhome","r_cl_w_wealth_withhome","diff_nohouse","diff_withhome","diff_wealth"
"ALL",0.848,0.728,0.831,0.692,0.12,0.139,-0.019
"1984",0.837,0.731,NA,NA,0.106,NA,NA
"1989",0.836,0.721,NA,NA,0.115,NA,NA
"1994",0.823,0.692,NA,NA,0.131,NA,NA
"1999",0.839,0.728,NA,NA,0.111,NA,NA
"2001",0.827,0.702,NA,NA,0.125,NA,NA
"2003",0.84,0.713,NA,NA,0.127,NA,NA
"2005",0.84,0.709,NA,NA,0.131,NA,NA
"2007",0.854,0.722,NA,NA,0.132,NA,NA
"2009",0.882,0.771,0.85,0.717,0.111,0.133,-0.022
"2011",0.852,0.729,0.835,0.689,0.123,0.146,-0.023
"2013",0.854,0.732,0.836,0.691,0.122,0.145,-0.023
"2015",0.862,0.747,0.838,0.702,0.115,0.136,-0.021
"2017",0.859,0.732,0.831,0.68,0.127,0.151,-0.0239999999999999
"2019",0.858,0.743,0.821,0.688,0.115,0.133,-0.018
"2021",0.856,0.745,0.805,0.68,0.111,0.125,-0.014
